sep=,
DeviceTag:,hand - 8,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-06 18:30:47.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 2258030988, 0.3050693, 0.6716239, -0.35375237, 0.5750767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 2258047655, 0.3053316, 0.6721967, -0.354505, 0.5738036, 9.589415550231934, 0.07423680275678635, -1.6657705307006836, -3.5919508934020996, -3.808570623397827, -0.2866189479827881, 
2, 2258064322, 0.30552486, 0.6733952, -0.35532305, 0.5717859, 9.501606941223145, 0.11325012892484665, -1.7037463188171387, -4.049688339233398, -3.0240533351898193, -1.3811137676239014, 
3, 2258080989, 0.30631262, 0.6745252, -0.3565665, 0.56925285, 9.384269714355469, 0.1481434851884842, -1.7685328722000122, -7.366560459136963, -3.3950536251068115, -1.6356785297393799, 
4, 2258097656, 0.3075104, 0.67558014, -0.35803562, 0.56642675, 9.423628807067871, 0.02093043364584446, -1.8854438066482544, -11.011992454528809, -4.453550815582275, -2.3761932849884033, 
5, 2258114323, 0.3086889, 0.6762925, -0.3601806, 0.5635686, 9.50829029083252, -0.18660315871238708, -2.0068609714508057, -12.214449882507324, -5.016494274139404, -2.8735804557800293, 
6, 2258130990, 0.309276, 0.6767556, -0.36286885, 0.5609604, 9.66965389251709, -0.34681418538093567, -2.0999300479888916, -11.686812400817871, -5.865810871124268, -2.2962822914123535, 
7, 2258147657, 0.30892414, 0.67731065, -0.36549255, 0.55877674, 9.802183151245117, -0.4868696630001068, -2.1559510231018066, -9.877593994140625, -7.384605884552002, -1.4593994617462158, 
8, 2258164324, 0.30813843, 0.6777793, -0.36842772, 0.556711, 9.982437133789062, -0.537887454032898, -2.156864643096924, -7.953464984893799, -9.529479026794434, -0.5407739877700806, 
9, 2258180991, 0.3067067, 0.67847, -0.37110573, 0.5548783, 10.154709815979004, -0.6864047646522522, -2.077798843383789, -5.458273887634277, -12.19717025756836, 0.2724616527557373, 
10, 2258197658, 0.3047511, 0.6791727, -0.37360242, 0.553419, 10.237345695495605, -0.7766501307487488, -1.950543761253357, -2.218970775604248, -13.76833438873291, 1.608613133430481, 
11, 2258214325, 0.30263895, 0.6796344, -0.37611708, 0.55230695, 10.18506908416748, -0.7328974008560181, -1.7593305110931396, -0.9654585719108582, -14.161502838134766, 3.3215277194976807, 
12, 2258230992, 0.30058426, 0.6798416, -0.37849593, 0.55154824, 10.133121490478516, -0.7298684120178223, -1.6717697381973267, -0.9834515452384949, -13.631280899047852, 4.585630893707275, 
13, 2258247659, 0.29838914, 0.6798869, -0.38022843, 0.55149263, 10.038990020751953, -0.7213899493217468, -1.7105134725570679, 1.6946074962615967, -10.7236967086792, 5.222348690032959, 
14, 2258264326, 0.29610336, 0.6797868, -0.38147053, 0.55198985, 9.90904712677002, -0.5140274167060852, -1.710908055305481, 4.995636940002441, -7.976284027099609, 5.758037567138672, 
15, 2258280993, 0.29397693, 0.67962885, -0.38217586, 0.5528327, 9.721841812133789, -0.1956317275762558, -1.7333928346633911, 6.028059482574463, -5.305441856384277, 5.220990180969238, 
16, 2258297660, 0.29242972, 0.67939496, -0.38291544, 0.5534286, 9.575241088867188, 0.019692853093147278, -1.751278281211853, 4.147714614868164, -5.055460453033447, 4.476441383361816, 
