sep=,
DeviceTag:,upper arm - 6,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-06 18:30:47.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 2558003503, 0.2269083, -0.6608548, -0.25901845, -0.6668533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 2558020170, 0.22667742, -0.6621622, -0.25717238, -0.66634923, 9.768583297729492, 0.40827426314353943, -0.12584789097309113, -8.57632827758789, -4.9746551513671875, 7.909853458404541, 
2, 2558036837, 0.2258736, -0.6639414, -0.25476703, -0.66577536, 9.670512199401855, 0.4016192853450775, -0.16334958374500275, -10.945594787597656, -5.2305402755737305, 9.289291381835938, 
3, 2558053504, 0.22507058, -0.6659068, -0.25235173, -0.6650038, 9.630802154541016, 0.3712095022201538, -0.22405846416950226, -13.079255104064941, -5.8833327293396, 11.533994674682617, 
4, 2558070171, 0.22415501, -0.66812557, -0.24942483, -0.66419137, 9.649846076965332, 0.3575461208820343, -0.30374598503112793, -13.767191886901855, -5.714189052581787, 14.410053253173828, 
5, 2558086838, 0.22341104, -0.6704177, -0.24635063, -0.66327894, 9.675607681274414, 0.3954651951789856, -0.287066251039505, -13.706109046936035, -5.194700241088867, 16.773086547851562, 
6, 2558103505, 0.22248533, -0.67263347, -0.24303418, -0.6625699, 9.752959251403809, 0.46428120136260986, -0.23558275401592255, -15.178051948547363, -4.972011089324951, 18.086578369140625, 
7, 2558120172, 0.22128385, -0.67458874, -0.23983039, -0.6621516, 9.858026504516602, 0.43015167117118835, -0.16693025827407837, -16.964580535888672, -4.951303958892822, 17.223159790039062, 
8, 2558136839, 0.21969731, -0.67631936, -0.23658788, -0.6620812, 9.995293617248535, 0.3426707983016968, -0.08222649991512299, -17.752058029174805, -4.7841033935546875, 15.238543510437012, 
9, 2558153506, 0.2179566, -0.6777724, -0.23342131, -0.6622945, 10.116902351379395, 0.27205154299736023, 3.528404049575329E-4, -17.975536346435547, -4.348288536071777, 12.857834815979004, 
10, 2558170173, 0.21634792, -0.6789259, -0.23049441, -0.66266555, 10.18596363067627, 0.10035807639360428, -0.03409893065690994, -16.863143920898438, -3.899705410003662, 10.957159996032715, 
11, 2558186840, 0.2149526, -0.679899, -0.22778542, -0.6630586, 10.093428611755371, -0.07647215574979782, -0.050386447459459305, -15.752521514892578, -3.5699028968811035, 9.359769821166992, 
12, 2558203507, 0.21361022, -0.6808093, -0.22502472, -0.6635008, 10.026542663574219, -0.18766292929649353, -0.02911442518234253, -14.916658401489258, -3.0809547901153564, 8.193657875061035, 
13, 2558220174, 0.21263963, -0.6815311, -0.2225446, -0.66390806, 9.983211517333984, -0.3039124608039856, -0.026849839836359024, -12.479565620422363, -2.336994171142578, 7.147479057312012, 
14, 2558236841, 0.21204785, -0.6820544, -0.22033222, -0.66429764, 9.904364585876465, -0.3499982953071594, -0.02596016228199005, -8.921483993530273, -1.3263413906097412, 6.294931888580322, 
15, 2558253508, 0.21183786, -0.68241125, -0.21844433, -0.66462165, 9.83967399597168, -0.35692298412323, -0.006705026607960463, -5.760462760925293, -0.7045798301696777, 5.664486408233643, 
16, 2558270175, 0.2120141, -0.68269247, -0.21689957, -0.66478235, 9.82588005065918, -0.3546577990055084, -0.06962407380342484, -2.9610207080841064, -0.9795450568199158, 5.568989276885986, 
17, 2558286842, 0.21239534, -0.68299377, -0.21555705, -0.66478795, 9.829996109008789, -0.30798712372779846, -0.1392669677734375, -0.8086443543434143, -1.5676383972167969, 5.623109340667725, 
18, 2558303509, 0.21299857, -0.6833203, -0.21452422, -0.6645933, 9.870903968811035, -0.23374797403812408, -0.19862540066242218, 1.6745905876159668, -2.430274248123169, 5.548703670501709, 
19, 2558320176, 0.21355622, -0.6836509, -0.21362695, -0.6643633, 9.932364463806152, -0.16173499822616577, -0.20682872831821442, 3.0740301609039307, -2.540703296661377, 4.942630767822266, 
20, 2558336843, 0.21415451, -0.6839255, -0.21295029, -0.6641055, 9.925318717956543, -0.1357220709323883, -0.20836535096168518, 3.9946281909942627, -2.399538993835449, 4.3699564933776855, 
21, 2558353510, 0.21476361, -0.6841864, -0.21249574, -0.66378564, 9.885810852050781, -0.15057457983493805, -0.23415973782539368, 4.553022861480713, -2.712590217590332, 3.7723348140716553, 
22, 2558370177, 0.21521333, -0.68455535, -0.21207653, -0.66339344, 9.84913158416748, -0.16163688898086548, -0.22667203843593597, 4.388986587524414, -3.6302037239074707, 3.3809218406677246, 
