sep=,
DeviceTag:,L Foot - 2,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-07 15:46:27.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 769793582, 0.4762137, -0.10978307, -0.26689652, -0.8306229, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 769810249, 0.47650182, -0.1099701, -0.26647806, -0.8305674, 4.247191905975342, 3.2934038639068604, 8.188091278076172, -1.3253291845321655, 0.7048295140266418, 0.7351549863815308, 
2, 769826916, 0.47679093, -0.10984243, -0.2658275, -0.8306269, 4.268006324768066, 3.294388771057129, 8.168569564819336, -1.6203616857528687, 0.8983078002929688, 0.8195871114730835, 
3, 769843583, 0.47690403, -0.10987644, -0.26531217, -0.8307223, 4.267543315887451, 3.2734975814819336, 8.164999961853027, -1.9703211784362793, 0.9140212535858154, 0.8366580605506897, 
4, 769860250, 0.477166, -0.109950125, -0.26484725, -0.8307103, 4.265989303588867, 3.2627692222595215, 8.183798789978027, -2.1792819499969482, 1.0206468105316162, 0.8555089235305786, 
5, 769876917, 0.47739744, -0.110053696, -0.2643655, -0.8307171, 4.247007369995117, 3.255814552307129, 8.200716018676758, -2.289954662322998, 1.1197296380996704, 0.9809600114822388, 
6, 769893584, 0.4775921, -0.1101154, -0.26384613, -0.83076215, 4.266984462738037, 3.241346597671509, 8.204567909240723, -2.389831304550171, 1.2305173873901367, 0.9490976929664612, 
7, 769910251, 0.4776419, -0.110225745, -0.26333204, -0.830882, 4.246771812438965, 3.246173858642578, 8.180643081665039, -2.2930026054382324, 1.2756084203720093, 0.891943097114563, 
8, 769926918, 0.4777585, -0.11030849, -0.26286393, -0.83095217, 4.260946750640869, 3.2462151050567627, 8.200310707092285, -2.324301242828369, 1.2377656698226929, 0.9713167548179626, 
9, 769943585, 0.4778659, -0.1103872, -0.26240152, -0.83102626, 4.237841606140137, 3.250661849975586, 8.216761589050293, -2.4013187885284424, 1.3720275163650513, 1.062523603439331, 
10, 769960252, 0.47791377, -0.11049093, -0.2618757, -0.83115065, 4.245452404022217, 3.212392568588257, 8.209138870239258, -2.8768696784973145, 1.4680111408233643, 1.243195652961731, 
11, 769976919, 0.4780944, -0.11056218, -0.26132113, -0.8312119, 4.256831645965576, 3.206752061843872, 8.195475578308105, -3.1594290733337402, 1.6167312860488892, 1.2653250694274902, 
12, 769993586, 0.47826245, -0.11065057, -0.2607232, -0.83129114, 4.250296115875244, 3.2209484577178955, 8.216435432434082, -3.4420392513275146, 1.83078932762146, 1.3565701246261597, 
13, 770010253, 0.4784449, -0.11076114, -0.26011884, -0.8313608, 4.23621129989624, 3.185059070587158, 8.23081111907959, -3.6432783603668213, 1.742989182472229, 1.4663591384887695, 
14, 770026920, 0.47870186, -0.11083957, -0.2595373, -0.8313842, 4.252455711364746, 3.128061294555664, 8.23306655883789, -3.530121326446533, 1.7184008359909058, 1.4206275939941406, 
15, 770043587, 0.47889945, -0.110921696, -0.2589964, -0.8314282, 4.252338886260986, 3.1236507892608643, 8.243844985961914, -3.1322667598724365, 1.6186009645462036, 1.2146759033203125, 
16, 770060254, 0.4790819, -0.1110188, -0.2585226, -0.83145744, 4.222327709197998, 3.110722303390503, 8.271736145019531, -2.6658084392547607, 1.3379114866256714, 1.2177238464355469, 
