sep=,
DeviceTag:,L Forearm - 10,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-07 15:46:27.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 692850503, 0.41675997, -0.46950507, -0.41917092, -0.6558749, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 692867170, 0.4164098, -0.46833402, -0.42040965, -0.6561417, 9.363067626953125, 1.5874767303466797, 1.9881618022918701, 3.826634407043457, 1.7629159688949585, -7.4859795570373535, 
2, 692883837, 0.4156451, -0.46737552, -0.42155397, -0.65657574, 9.413177490234375, 1.6107760667800903, 1.968059778213501, 4.18386697769165, 2.24714994430542, -8.292202949523926, 
3, 692900504, 0.4148043, -0.46658397, -0.4226885, -0.65694076, 9.36302661895752, 1.6150275468826294, 1.9931102991104126, 3.666990280151367, 2.700443744659424, -8.830531120300293, 
4, 692917171, 0.41419065, -0.46566564, -0.42366746, -0.65734905, 9.348997116088867, 1.6367700099945068, 1.9844944477081299, 3.4561338424682617, 2.9787514209747314, -9.167645454406738, 
5, 692933838, 0.41367438, -0.464615, -0.42464513, -0.65778655, 9.372942924499512, 1.546705961227417, 1.9355220794677734, 4.611831188201904, 3.4848976135253906, -9.684563636779785, 
6, 692950505, 0.41347036, -0.46358052, -0.42568952, -0.6579694, 9.381478309631348, 1.505423665046692, 1.9244434833526611, 6.53503942489624, 3.8476247787475586, -10.019526481628418, 
7, 692967172, 0.4133369, -0.46266565, -0.42662245, -0.65809315, 9.426592826843262, 1.5904611349105835, 1.9649168252944946, 7.537738800048828, 4.116673946380615, -10.114152908325195, 
8, 692983839, 0.41326278, -0.46166328, -0.42755833, -0.6582363, 9.392815589904785, 1.5565776824951172, 1.9407215118408203, 8.295681953430176, 4.497790813446045, -10.02640438079834, 
9, 693000506, 0.41327724, -0.4606205, -0.42858914, -0.65828735, 9.439065933227539, 1.6108053922653198, 1.8599493503570557, 9.673020362854004, 4.3193864822387695, -9.886368751525879, 
10, 693017173, 0.41317835, -0.45964348, -0.4296568, -0.65833616, 9.515649795532227, 1.7793095111846924, 1.903769850730896, 9.962738990783691, 4.151827812194824, -9.934046745300293, 
11, 693033840, 0.41295978, -0.45872578, -0.4306306, -0.6584773, 9.547130584716797, 1.7419509887695312, 1.9168286323547363, 8.136640548706055, 4.044061660766602, -9.468328475952148, 
12, 693050507, 0.4127654, -0.45780066, -0.4315934, -0.65861255, 9.460622787475586, 1.7452822923660278, 1.908920407295227, 7.637512683868408, 3.985433340072632, -9.134875297546387, 
13, 693067174, 0.41240007, -0.4569771, -0.43242443, -0.65886843, 9.487676620483398, 1.818987488746643, 1.999569058418274, 6.829404354095459, 3.83622670173645, -9.09025764465332, 
14, 693083841, 0.41203254, -0.45613274, -0.43319044, -0.6591799, 9.51216983795166, 1.7928664684295654, 1.9418091773986816, 6.605371475219727, 3.9504470825195312, -8.751017570495605, 
15, 693100508, 0.41171274, -0.45524517, -0.43397498, -0.6594774, 9.59695816040039, 1.9459056854248047, 2.020493507385254, 5.9990668296813965, 3.8816640377044678, -8.795994758605957, 
16, 693117175, 0.41132393, -0.45449173, -0.43450326, -0.6598914, 9.579021453857422, 1.9461901187896729, 2.0383286476135254, 3.995908737182617, 3.9625096321105957, -7.8634724617004395, 
17, 693133842, 0.41090217, -0.45382518, -0.43491274, -0.6603433, 9.58559513092041, 1.949975609779358, 2.0808780193328857, 3.4473609924316406, 3.81650447845459, -7.168471336364746, 
18, 693150509, 0.4104619, -0.45319882, -0.4352304, -0.6608378, 9.582930564880371, 1.8839038610458374, 2.1274406909942627, 4.674465656280518, 4.160355091094971, -6.402023792266846, 
19, 693167176, 0.41080585, -0.4520385, -0.43606415, -0.6608692, 9.603696823120117, 1.897879719734192, 2.13911771774292, 7.309885501861572, 4.719288349151611, -5.874146461486816, 
20, 693183843, 0.41100988, -0.45101854, -0.43668672, -0.66102797, 9.571219444274902, 2.046459913253784, 2.205641269683838, 8.14926815032959, 5.115005970001221, -5.1503705978393555, 
21, 693200510, 0.41125494, -0.45000368, -0.43722618, -0.6612105, 9.578697204589844, 2.075833320617676, 2.190507650375366, 7.622335910797119, 5.264339923858643, -4.634708881378174, 
22, 693217177, 0.41132057, -0.44925585, -0.43734953, -0.66159666, 9.605392456054688, 2.3661718368530273, 2.3462772369384766, 4.60199499130249, 5.355149745941162, -3.609368324279785, 
23, 693233844, 0.41108745, -0.4489252, -0.4367516, -0.6623605, 9.634466171264648, 2.336778163909912, 2.451000452041626, -2.176349639892578, 5.473518371582031, -2.2132322788238525, 
24, 693250511, 0.41070625, -0.44884384, -0.43574062, -0.6633173, 9.527613639831543, 2.1172056198120117, 2.289642810821533, -6.648046016693115, 5.204174518585205, -1.3344089984893799, 
25, 693267178, 0.4101428, -0.44889298, -0.43463853, -0.66435486, 9.570155143737793, 2.3118913173675537, 2.3347830772399902, -7.790744304656982, 4.589789867401123, -1.5769102573394775, 
26, 693283845, 0.40911868, -0.44947913, -0.4329241, -0.665708, 9.545188903808594, 2.402038812637329, 2.3045201301574707, -13.595794677734375, 3.583763599395752, -0.6907877922058105, 
27, 693300512, 0.40818703, -0.45006192, -0.43127915, -0.66695285, 9.548909187316895, 2.156853437423706, 2.2665305137634277, -14.636079788208008, 2.8937439918518066, -0.42419782280921936, 
28, 693317179, 0.4072572, -0.45052364, -0.4299821, -0.6680461, 9.635919570922852, 2.060555934906006, 2.2944562435150146, -9.935272216796875, 2.533461809158325, -0.8695771098136902, 
29, 693333846, 0.40666053, -0.450748, -0.42910066, -0.66882443, 9.756617546081543, 2.1176578998565674, 2.3445115089416504, -7.189844608306885, 2.0991597175598145, -0.927115797996521, 
30, 693350513, 0.40615997, -0.45087618, -0.4282914, -0.6695608, 9.778609275817871, 2.1892714500427246, 2.3828885555267334, -6.002964019775391, 2.5434887409210205, -0.8650689721107483, 
31, 693367180, 0.40545338, -0.45112216, -0.4273385, -0.67043144, 9.756268501281738, 2.174867868423462, 2.4092588424682617, -6.520097732543945, 2.544090747833252, -1.0242775678634644, 
32, 693383847, 0.4047675, -0.45138824, -0.42634913, -0.67129594, 9.671269416809082, 2.204634189605713, 2.4216911792755127, -8.241873741149902, 2.244819402694702, -1.1117963790893555, 
33, 693400514, 0.40385747, -0.4519094, -0.425057, -0.6723122, 9.623610496520996, 2.2213523387908936, 2.4178037643432617, -11.833955764770508, 1.6357364654541016, -0.9394486546516418, 
34, 693417181, 0.40260327, -0.45269898, -0.423417, -0.673567, 9.650793075561523, 2.1577329635620117, 2.4359540939331055, -16.397506713867188, 0.9923713207244873, -1.3981729745864868, 
35, 693433848, 0.4010715, -0.45364013, -0.42154655, -0.67501926, 9.652323722839355, 2.018756866455078, 2.423900842666626, -17.800922393798828, 1.056941270828247, -1.6996991634368896, 
36, 693450515, 0.39966643, -0.45441708, -0.41981483, -0.6764078, 9.647750854492188, 1.895127773284912, 2.4229543209075928, -16.3739070892334, 1.5538662672042847, -1.955825924873352, 
