sep=,
DeviceTag:,L Lower Leg - 4,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-07 15:46:27.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 769691526, 0.18450777, -0.72619206, -0.2165891, -0.6258524, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 769708193, 0.18407051, -0.72647685, -0.21600765, -0.62585163, 9.839195251464844, 0.08160825818777084, -1.46815824508667, -1.9112834930419922, -1.720853328704834, 2.173884153366089, 
2, 769724860, 0.18359758, -0.72662246, -0.21587978, -0.6258657, 9.878694534301758, 0.0659848302602768, -1.4853912591934204, -2.5039877891540527, -1.9859833717346191, 2.324948310852051, 
3, 769741527, 0.18300179, -0.72689825, -0.2155121, -0.6258466, 9.870341300964355, 0.008218511939048767, -1.5024492740631104, -2.8082275390625, -2.1544761657714844, 2.352968215942383, 
4, 769758194, 0.18294011, -0.7272318, -0.2152147, -0.62557936, 9.845690727233887, 0.0016673723002895713, -1.470232367515564, -2.464991569519043, -2.310828924179077, 2.4096620082855225, 
5, 769774861, 0.18292813, -0.727567, -0.21476133, -0.62534887, 9.864836692810059, 0.03255147114396095, -1.509036660194397, -2.6194233894348145, -2.502347946166992, 2.418626308441162, 
6, 769791528, 0.1828736, -0.7279309, -0.21437897, -0.6250724, 9.884709358215332, 0.008206366561353207, -1.506718397140503, -2.801760673522949, -2.6855690479278564, 2.4325342178344727, 
7, 769808195, 0.18283801, -0.72831225, -0.21401012, -0.6247649, 9.844033241271973, -0.027731699869036674, -1.4973571300506592, -2.9759650230407715, -2.9238173961639404, 2.5143282413482666, 
8, 769824862, 0.18263176, -0.7287709, -0.2133772, -0.62450695, 9.84848403930664, 0.02135511487722397, -1.5183508396148682, -3.3178822994232178, -3.02876615524292, 2.5871200561523438, 
9, 769841529, 0.1823951, -0.7292401, -0.21279, -0.62422866, 9.853437423706055, -0.013116131536662579, -1.5119019746780396, -3.9164767265319824, -3.2197601795196533, 2.699892520904541, 
10, 769858196, 0.18208721, -0.72974163, -0.21213041, -0.6239571, 9.870644569396973, -0.04358602687716484, -1.5666148662567139, -3.6173970699310303, -3.4010210037231445, 2.6456191539764404, 
