sep=,
DeviceTag:,L Upper Leg - 6,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-07 15:46:27.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 692848285, 0.616819, -0.21217372, -0.72944105, -0.20599152, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 692864952, 0.6168028, -0.21238093, -0.7295251, -0.20552884, 9.725993156433105, 0.33826160430908203, -1.4693243503570557, -1.1110659837722778, -2.157191276550293, 2.0345640182495117, 
2, 692881619, 0.6170784, -0.21276103, -0.7293023, -0.2050982, 9.755407333374023, 0.3146890103816986, -1.4629861116409302, -2.485661268234253, -2.459228754043579, 2.154981851577759, 
3, 692898286, 0.6174381, -0.21339805, -0.7289155, -0.20472848, 9.826668739318848, 0.2878660559654236, -1.533850073814392, -2.3038623332977295, -2.295525312423706, 2.497321128845215, 
4, 692914953, 0.61747366, -0.21444874, -0.72861266, -0.2046014, 9.81679916381836, 0.2453833818435669, -1.5065553188323975, -3.1834664344787598, -1.7728599309921265, 2.407280206680298, 
5, 692931620, 0.6174371, -0.21561939, -0.7283292, -0.20449091, 9.762520790100098, 0.23897486925125122, -1.4261748790740967, -4.465920448303223, -1.994461178779602, 2.7269012928009033, 
6, 692948287, 0.617395, -0.21693972, -0.72793067, -0.2046408, 9.79503059387207, 0.2979334890842438, -1.4474109411239624, -5.146577835083008, -2.2840640544891357, 2.8542861938476562, 
7, 692964954, 0.61743444, -0.21776709, -0.7276646, -0.20458858, 9.834463119506836, 0.29894736409187317, -1.4910056591033936, -4.420483112335205, -2.1388142108917236, 2.988765001296997, 
8, 692981621, 0.617358, -0.21880187, -0.72733265, -0.20489489, 9.757238388061523, 0.2631535530090332, -1.4225414991378784, -5.699069499969482, -1.6448349952697754, 3.034970760345459, 
9, 692998288, 0.6171807, -0.22007425, -0.72694576, -0.20543876, 9.753216743469238, 0.24471257627010345, -1.3915598392486572, -6.271935939788818, -1.9522000551223755, 3.1438889503479004, 
10, 693014955, 0.6171068, -0.22111481, -0.726573, -0.20586205, 9.856317520141602, 0.25136807560920715, -1.3921220302581787, -6.467526912689209, -1.5739388465881348, 3.038146495819092, 
11, 693031622, 0.6170197, -0.22216105, -0.72621113, -0.20627351, 9.75650405883789, 0.2095610350370407, -1.414461612701416, -6.35973596572876, -1.8049269914627075, 3.21682071685791, 
