sep=,
DeviceTag:,Pelvis - 7,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-07 15:46:27.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 692967481, 0.766677, 0.30913892, -0.5171585, 0.22178084, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 692984148, 0.7667625, 0.30896157, -0.5173142, 0.22136883, 9.16278076171875, 2.505878210067749, 2.7392497062683105, -3.439594030380249, -2.754056930541992, 1.4200260639190674, 
2, 693000815, 0.7669271, 0.30924222, -0.5171278, 0.2208415, 9.178081512451172, 2.501225471496582, 2.7014973163604736, -3.088149309158325, -3.2313754558563232, 1.4950711727142334, 
3, 693017482, 0.7669647, 0.30936107, -0.5173901, 0.21992847, 9.157183647155762, 2.483017921447754, 2.6971242427825928, -3.293704032897949, -3.96388578414917, 1.4530149698257446, 
4, 693034149, 0.7669084, 0.30933237, -0.5178629, 0.21905039, 9.147951126098633, 2.485085964202881, 2.731302499771118, -2.560091972351074, -4.342070579528809, 1.2962652444839478, 
5, 693050816, 0.76691556, 0.30915368, -0.5182771, 0.21829695, 9.189459800720215, 2.511221408843994, 2.797684669494629, -2.7654545307159424, -4.20359468460083, 1.0964990854263306, 
6, 693067483, 0.76697785, 0.30888715, -0.5186021, 0.21768343, 9.221573829650879, 2.5669922828674316, 2.806781053543091, -3.448058605194092, -4.550826072692871, 1.0388448238372803, 
7, 693084150, 0.76717645, 0.3084721, -0.5188223, 0.21704541, 9.21491527557373, 2.590064764022827, 2.806396484375, -4.640650272369385, -3.701906681060791, 1.1225215196609497, 
8, 693100817, 0.7673839, 0.3080215, -0.5190778, 0.21634027, 9.162995338439941, 2.6237306594848633, 2.7824389934539795, -4.507272720336914, -3.754399538040161, 1.2667338848114014, 
9, 693117484, 0.7675448, 0.30758837, -0.5194308, 0.21553722, 9.179802894592285, 2.671112298965454, 2.8168163299560547, -5.13793420791626, -4.5223846435546875, 1.1638094186782837, 
10, 693134151, 0.7678023, 0.30701622, -0.5198046, 0.21453248, 9.176236152648926, 2.6524126529693604, 2.8322880268096924, -6.026029586791992, -4.242706298828125, 1.006880283355713, 
11, 693150818, 0.7681518, 0.30633038, -0.52016604, 0.21338257, 9.130274772644043, 2.60064435005188, 2.8053743839263916, -6.615428447723389, -3.7970705032348633, 0.614621639251709, 
12, 693167485, 0.76833147, 0.3059539, -0.5204799, 0.21250814, 9.15087604522705, 2.5996105670928955, 2.767756223678589, -5.465457439422607, -4.418217182159424, 0.2475404143333435, 
13, 693184152, 0.76852125, 0.30547318, -0.52087, 0.21155551, 9.27741527557373, 2.6128787994384766, 2.8759007453918457, -5.696969032287598, -4.322155952453613, 0.28458911180496216, 
14, 693200819, 0.76887673, 0.30473325, -0.5212042, 0.2105058, 9.296744346618652, 2.5989272594451904, 2.8995676040649414, -7.336758613586426, -3.184119939804077, 0.12051417678594589, 
15, 693217486, 0.76924825, 0.30401707, -0.5214718, 0.2095182, 9.261284828186035, 2.5578091144561768, 2.8327980041503906, -6.903290748596191, -2.6976583003997803, -0.10127265006303787, 
16, 693234153, 0.76962775, 0.30332422, -0.5216912, 0.20858084, 9.19609260559082, 2.5177178382873535, 2.780337333679199, -5.894775867462158, -2.022519826889038, -0.1440330296754837, 
17, 693250820, 0.7698956, 0.30283654, -0.5218744, 0.2078406, 9.132678985595703, 2.517685651779175, 2.828549861907959, -4.704656600952148, -2.1547324657440186, -0.28497976064682007, 
18, 693267487, 0.7701251, 0.30236962, -0.5220951, 0.20711532, 9.185688018798828, 2.56882905960083, 2.9526071548461914, -4.52639102935791, -2.442964792251587, -0.342083215713501, 
