sep=,
DeviceTag:,R Foot - 1,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-07 15:46:27.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 769824118, 0.408218, -0.29008326, 0.04487832, -0.86440474, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 769840785, 0.40891743, -0.28998762, 0.04443863, -0.864129, 4.627044677734375, -3.1482717990875244, 8.2885160446167, 4.864254951477051, -2.528101682662964, 2.6315324306488037, 
2, 769857452, 0.40953773, -0.289787, 0.043953974, -0.8639273, 4.646292686462402, -3.162774085998535, 8.284197807312012, 5.017521381378174, -2.5642924308776855, 2.660961151123047, 
3, 769874119, 0.41023195, -0.28976756, 0.04346422, -0.8636294, 4.632122993469238, -3.0889952182769775, 8.322495460510254, 5.048436641693115, -2.6048760414123535, 2.535625696182251, 
4, 769890786, 0.4109169, -0.28956917, 0.04270768, -0.86340785, 4.638820171356201, -3.0980799198150635, 8.296013832092285, 4.699924468994141, -2.6290669441223145, 2.452794075012207, 
5, 769907453, 0.41152656, -0.28943497, 0.041964773, -0.8631991, 4.650118827819824, -3.107753038406372, 8.283036231994629, 4.543417453765869, -2.600905656814575, 2.439091205596924, 
6, 769924120, 0.4121522, -0.28941104, 0.041273557, -0.8629418, 4.639357566833496, -3.1342201232910156, 8.290329933166504, 4.3195881843566895, -2.637993097305298, 2.4423439502716064, 
7, 769940787, 0.41269693, -0.28940964, 0.04066624, -0.8627108, 4.652273654937744, -3.1891071796417236, 8.28140926361084, 4.5718607902526855, -2.6562676429748535, 2.3933467864990234, 
8, 769957454, 0.4133699, -0.28944585, 0.0401017, -0.86240274, 4.638260841369629, -3.1442432403564453, 8.283744812011719, 4.83779764175415, -2.520507574081421, 2.35964035987854, 
9, 769974121, 0.4138972, -0.28950492, 0.039623473, -0.862152, 4.638882637023926, -3.1112349033355713, 8.285167694091797, 4.6433844566345215, -2.6626198291778564, 2.4507195949554443, 
