sep=,
DeviceTag:,R Lower Leg - 3,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-07 15:46:27.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 769818742, 0.34361222, -0.65944046, -0.41752186, -0.5222492, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 769835409, 0.3441777, -0.66023666, -0.4170102, -0.52127916, 9.749948501586914, -0.3579287528991699, -2.354342222213745, 1.6055129766464233, -1.203438401222229, 3.073619842529297, 
2, 769852076, 0.3447121, -0.66212523, -0.416065, -0.519282, 9.752012252807617, -0.28101179003715515, -2.289461851119995, 2.7754242420196533, -0.9567752480506897, 3.0024807453155518, 
3, 769868743, 0.34498072, -0.6634792, -0.415322, -0.51796854, 9.775012016296387, -0.2792774438858032, -2.3046295642852783, 2.316688060760498, -0.8706270456314087, 3.1429028511047363, 
4, 769885410, 0.34470367, -0.66470015, -0.4143468, -0.5173683, 9.754683494567871, -0.16775324940681458, -2.2397210597991943, 0.7141140699386597, -1.0217033624649048, 3.2738215923309326, 
5, 769902077, 0.34401697, -0.6655416, -0.4134954, -0.5174249, 9.741997718811035, -0.292146772146225, -2.2721595764160156, -1.128495454788208, -1.3656947612762451, 3.2857441902160645, 
6, 769918744, 0.34348765, -0.6663012, -0.41264212, -0.51747996, 9.74621295928955, -0.3053220808506012, -2.2990686893463135, -1.4571963548660278, -1.4153324365615845, 3.391909599304199, 
7, 769935411, 0.34311575, -0.66694325, -0.41192278, -0.5174729, 9.76641845703125, -0.35617998242378235, -2.37723970413208, -1.4216586351394653, -1.2590692043304443, 3.1721138954162598, 
8, 769952078, 0.3428608, -0.6676127, -0.41120327, -0.51735073, 9.71760368347168, -0.3749360144138336, -2.3894174098968506, -0.36234283447265625, -1.011880874633789, 3.273667812347412, 
9, 769968745, 0.34281057, -0.66815513, -0.4106822, -0.5170977, 9.746467590332031, -0.32937613129615784, -2.3974790573120117, 0.14963579177856445, -0.659450113773346, 3.0997445583343506, 
10, 769985412, 0.3425395, -0.668808, -0.4100157, -0.5169622, 9.732930183410645, -0.3302052319049835, -2.404953956604004, -0.9157564640045166, -0.7523602247238159, 2.9680957794189453, 
11, 770002079, 0.3421923, -0.66946185, -0.40933284, -0.5168867, 9.752640724182129, -0.3801262080669403, -2.4218459129333496, -2.127288579940796, -0.6218379735946655, 2.94496750831604, 
12, 770018746, 0.34178734, -0.67009664, -0.40859097, -0.5169193, 9.73351001739502, -0.4801514446735382, -2.43040132522583, -2.5462610721588135, -0.11112070083618164, 2.5556929111480713, 
13, 770035413, 0.3415689, -0.67061925, -0.40795684, -0.5168868, 9.716110229492188, -0.458772212266922, -2.4459636211395264, -1.4256411790847778, 0.2547502815723419, 2.310194969177246, 
14, 770052080, 0.3414962, -0.6710427, -0.4074211, -0.5168078, 9.731663703918457, -0.36073291301727295, -2.3431344032287598, -0.4860522150993347, 0.5837454795837402, 2.1733338832855225, 
15, 770068747, 0.34138706, -0.6714286, -0.4069223, -0.5167716, 9.747511863708496, -0.37075650691986084, -2.278735876083374, -0.7105987071990967, 0.4232306182384491, 1.916271686553955, 
16, 770085414, 0.3413273, -0.67174226, -0.40647483, -0.51675546, 9.735367774963379, -0.46045058965682983, -2.2695114612579346, -0.09964619576931, 0.4025227725505829, 1.7258284091949463, 
17, 770102081, 0.34128964, -0.6720612, -0.40598628, -0.51674986, 9.761171340942383, -0.40074801445007324, -2.239227771759033, 0.5280249714851379, 0.26990020275115967, 1.7450892925262451, 
18, 770118748, 0.34127948, -0.6723397, -0.4055533, -0.51673424, 9.783063888549805, -0.3525117337703705, -2.2184958457946777, 0.21909745037555695, 0.06821302324533463, 1.7561284303665161, 
