sep=,
DeviceTag:,R Upper Leg - 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-07 15:46:27.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 769730782, 0.30386558, 0.71939415, -0.26464194, 0.56577575, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 769747449, 0.30411762, 0.71915627, -0.26539218, 0.5655914, 9.657693862915039, 1.2313307523727417, -1.7300952672958374, -5.168336391448975, -0.04830556362867355, 1.406067132949829, 
2, 769764116, 0.30379286, 0.71852607, -0.266864, 0.56587446, 9.683720588684082, 1.1247258186340332, -1.7550064325332642, -5.355910301208496, 0.1607133001089096, 1.4629782438278198, 
3, 769780783, 0.3025743, 0.71799296, -0.26846766, 0.56644493, 9.631040573120117, 1.0930500030517578, -1.779220461845398, -3.8472321033477783, -0.11004496365785599, 1.4056569337844849, 
4, 769797450, 0.30101913, 0.7177963, -0.26955274, 0.5670074, 9.653298377990723, 1.0652694702148438, -1.7724162340164185, -2.8958356380462646, -0.24935241043567657, 1.3420478105545044, 
5, 769814117, 0.29939705, 0.7177922, -0.2701164, 0.5676028, 9.680059432983398, 1.053788423538208, -1.7780617475509644, -1.3493027687072754, -0.29493027925491333, 1.1728376150131226, 
6, 769830784, 0.29794174, 0.7178733, -0.27048063, 0.56809247, 9.652076721191406, 1.1424845457077026, -1.7591508626937866, 0.6846083402633667, -0.5181705355644226, 0.9208855032920837, 
7, 769847451, 0.2968633, 0.71799064, -0.2706912, 0.56840825, 9.617480278015137, 1.2246278524398804, -1.8352218866348267, 0.7505481243133545, -0.8366260528564453, 1.0238484144210815, 
8, 769864118, 0.2960004, 0.71831053, -0.27062318, 0.5684866, 9.660794258117676, 1.385862112045288, -1.8245267868041992, 0.30925416946411133, -1.450395941734314, 0.720337986946106, 
9, 769880785, 0.29554293, 0.71858996, -0.27044532, 0.568456, 9.650588035583496, 1.4125381708145142, -1.8184685707092285, -0.7205492258071899, -0.8455392122268677, 1.0294831991195679, 
10, 769897452, 0.2954682, 0.7187759, -0.27045527, 0.5682549, 9.629420280456543, 1.3595331907272339, -1.7939306497573853, -2.0071775913238525, -0.9530230164527893, 1.5520977973937988, 
11, 769914119, 0.2955463, 0.71888334, -0.27057138, 0.5680232, 9.643858909606934, 1.271691083908081, -1.8182677030563354, -3.0861897468566895, -0.9559172987937927, 2.073470115661621, 
12, 769930786, 0.29572722, 0.71893233, -0.27074713, 0.56778353, 9.626718521118164, 1.2699156999588013, -1.8368085622787476, -4.214595794677734, -0.8330787420272827, 1.9767308235168457, 
