sep=,
DeviceTag:,L Foot - 2,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:09:21.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 64380011, 0.9037839, 0.25088835, -0.0697684, 0.33964995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 64396678, 0.9039992, 0.2511421, -0.06997627, 0.338846, 2.894571304321289, 4.050745010375977, 8.48044490814209, 0.4261888861656189, 0.3031967282295227, -0.04929163679480553, 
2, 64413345, 0.9041293, 0.25158122, -0.06967481, 0.33823454, 2.893763303756714, 3.9977848529815674, 8.429882049560547, 0.036043472588062286, 0.5220828652381897, 0.02027885615825653, 
3, 64430012, 0.9042606, 0.25177962, -0.069504246, 0.33777073, 2.8961291313171387, 4.021941661834717, 8.451353073120117, -0.29015347361564636, 0.8269636631011963, -0.003624197095632553, 
4, 64446679, 0.90431046, 0.25190565, -0.0692448, 0.33759657, 2.9129557609558105, 3.9099812507629395, 8.438336372375488, -0.35317355394363403, 1.2776318788528442, -0.39143890142440796, 
5, 64463346, 0.90453506, 0.2516512, -0.06925904, 0.3371814, 2.8839211463928223, 3.9717986583709717, 8.467424392700195, -0.3997245728969574, 1.5889285802841187, -0.8497268557548523, 
6, 64480013, 0.9046811, 0.25148797, -0.06919271, 0.33692506, 2.8666250705718994, 3.9441003799438477, 8.491819381713867, 0.25600534677505493, 1.2177878618240356, -0.8197343945503235, 
7, 64496680, 0.90484124, 0.25143644, -0.06917164, 0.33653736, 2.8879621028900146, 3.988757610321045, 8.475919723510742, 1.3349403142929077, 0.38616910576820374, -0.9268340468406677, 
8, 64513347, 0.9050573, 0.25133026, -0.06926268, 0.33601668, 2.830002784729004, 4.177499294281006, 8.495182991027832, 0.5788789987564087, 0.26640409231185913, -0.44058963656425476, 
9, 64530014, 0.90506744, 0.25133786, -0.06922091, 0.3359921, 2.8582944869995117, 4.0108561515808105, 8.480281829833984, -0.3321070373058319, -0.2729417383670807, 0.3268499970436096, 
10, 64546681, 0.90511316, 0.25128943, -0.069244005, 0.33590057, 2.8807260990142822, 3.983518600463867, 8.476249694824219, -0.7177702784538269, -0.5527348518371582, 0.03569769859313965, 
11, 64563348, 0.9052507, 0.25113097, -0.06928975, 0.33563897, 2.8690073490142822, 3.9792425632476807, 8.450332641601562, -1.168476939201355, -0.09818628430366516, -0.32134974002838135, 
12, 64580015, 0.90539265, 0.25090632, -0.0693275, 0.33541626, 2.886857271194458, 3.9258358478546143, 8.484936714172363, -1.599487543106079, 0.06711167842149734, -0.5413628220558167, 
13, 64596682, 0.9055386, 0.25066444, -0.069315575, 0.33520564, 2.8672821521759033, 3.9531376361846924, 8.483012199401855, -1.4721922874450684, 0.3319341838359833, -1.078922152519226, 
14, 64613349, 0.90574855, 0.2503811, -0.06927566, 0.33485818, 2.8752219676971436, 3.963038921356201, 8.504634857177734, -1.4348362684249878, 0.8753715753555298, -1.157450556755066, 
15, 64630016, 0.9058675, 0.250124, -0.0691154, 0.33476105, 2.882361650466919, 3.956240653991699, 8.495110511779785, -1.2032333612442017, 1.2624306678771973, -1.1464115381240845, 
16, 64646683, 0.90609115, 0.24995093, -0.06899657, 0.33430958, 2.843501091003418, 3.8764822483062744, 8.536425590515137, -0.33929142355918884, 1.372475504875183, -1.3109219074249268, 
17, 64663350, 0.90620065, 0.24993041, -0.0687684, 0.33407497, 2.849301815032959, 3.881791591644287, 8.5206880569458, 0.7923097014427185, 1.2306071519851685, -1.5840815305709839, 
18, 64680017, 0.9064278, 0.25000945, -0.06854253, 0.33344576, 2.8454720973968506, 3.911530017852783, 8.507494926452637, 1.9325358867645264, 1.5029727220535278, -1.9567722082138062, 
19, 64696684, 0.90646166, 0.2501592, -0.06814239, 0.3333231, 2.8162155151367188, 3.9730350971221924, 8.538414001464844, 2.310502290725708, 1.748674988746643, -1.8134429454803467, 
20, 64713351, 0.90642786, 0.25037155, -0.06763296, 0.33335957, 2.8425166606903076, 3.927168130874634, 8.51152229309082, 2.7803423404693604, 2.0479724407196045, -1.803518533706665, 
21, 64730018, 0.90652835, 0.25056735, -0.06707433, 0.33305177, 2.9019899368286133, 3.8875622749328613, 8.387020111083984, 2.940920829772949, 2.645414352416992, -2.734527349472046, 
22, 64746685, 0.90671635, 0.25057203, -0.06644504, 0.33266214, 2.7615997791290283, 3.886444091796875, 8.572094917297363, 1.6771773099899292, 3.5042593479156494, -3.639411211013794, 
23, 64763352, 0.90683544, 0.25086075, -0.06593029, 0.33222222, 2.7447211742401123, 3.9231796264648438, 8.606117248535156, 3.083686113357544, 1.5620098114013672, -4.530233860015869, 
24, 64780019, 0.90698874, 0.25114518, -0.06560471, 0.3316531, 2.773526906967163, 4.269110679626465, 8.485416412353516, 2.887441396713257, 0.6014309525489807, -4.044180870056152, 
25, 64796686, 0.90712976, 0.25107205, -0.06536088, 0.33137056, 2.817074775695801, 4.30491828918457, 8.432263374328613, 0.29939326643943787, 1.321800947189331, -2.0014917850494385, 
26, 64813353, 0.9072603, 0.25075763, -0.06512534, 0.3312977, 2.8170742988586426, 4.15185546875, 8.439610481262207, -1.3733657598495483, 2.2160298824310303, -0.5112166404724121, 
27, 64830020, 0.90743214, 0.25030994, -0.06492057, 0.33120602, 2.7845287322998047, 4.086068153381348, 8.475862503051758, -2.170189619064331, 2.7784078121185303, 0.2869454622268677, 
28, 64846687, 0.90751654, 0.24985978, -0.06472, 0.3313536, 2.745544910430908, 4.023133754730225, 8.546491622924805, -2.423640251159668, 2.498217821121216, 0.632140576839447, 
29, 64863354, 0.9075907, 0.24956152, -0.06468076, 0.33138293, 2.743727445602417, 3.9661574363708496, 8.57804012298584, -1.5878081321716309, 1.3190220594406128, 0.9727383852005005, 
30, 64880021, 0.90757775, 0.24947996, -0.06467581, 0.33148074, 2.7665722370147705, 3.8972673416137695, 8.551753997802734, -0.2923305332660675, 0.3716466426849365, 0.9227166175842285, 
31, 64896688, 0.90755206, 0.24949878, -0.064650066, 0.33154187, 2.796633005142212, 3.980773448944092, 8.515207290649414, 0.48609697818756104, 0.2593477964401245, 0.7357441186904907, 
32, 64913355, 0.9075236, 0.24945958, -0.06461872, 0.33165565, 2.75812029838562, 3.957341432571411, 8.536965370178223, 0.08989416062831879, 0.41755738854408264, 0.8237364292144775, 
33, 64930022, 0.90751565, 0.2493926, -0.06458391, 0.33173445, 2.77311635017395, 3.9454293251037598, 8.511545181274414, -0.08234483003616333, 0.48631471395492554, 0.6359184980392456, 
34, 64946689, 0.9075466, 0.24934618, -0.06456788, 0.3316878, 2.7760024070739746, 3.9603376388549805, 8.528520584106445, 0.13068237900733948, 0.47311142086982727, 0.4993387460708618, 
35, 64963356, 0.9075584, 0.24925038, -0.06450501, 0.33173946, 2.7661502361297607, 3.9731404781341553, 8.506470680236816, -0.18984131515026093, 0.7447211742401123, 0.4613038897514343, 
36, 64980023, 0.9075658, 0.24914044, -0.06440786, 0.33182114, 2.765014171600342, 3.977864980697632, 8.478866577148438, -0.25647276639938354, 0.9344984889030457, 0.3656916916370392, 
37, 64996690, 0.9076348, 0.2489106, -0.06434448, 0.33181718, 2.7806246280670166, 4.0422163009643555, 8.509683609008789, -0.9913651347160339, 1.2375351190567017, 0.5408697724342346, 
38, 65013357, 0.9076682, 0.24854289, -0.06426387, 0.33201692, 2.7523207664489746, 4.017703056335449, 8.538782119750977, -2.0037968158721924, 1.539726734161377, 0.9487776160240173, 
39, 65030024, 0.90777475, 0.24809092, -0.06426372, 0.33206385, 2.7390217781066895, 3.9708611965179443, 8.542562484741211, -2.5507686138153076, 1.5304292440414429, 1.1389775276184082, 
40, 65046691, 0.9078499, 0.24771145, -0.06428331, 0.33213773, 2.744427442550659, 3.9054646492004395, 8.56755256652832, -2.192805767059326, 1.098906397819519, 1.0207492113113403, 
41, 65063358, 0.9079262, 0.24738112, -0.06431375, 0.33216953, 2.736642599105835, 3.8920068740844727, 8.56613826751709, -1.8611341714859009, 0.919732928276062, 0.9031486511230469, 
42, 65080025, 0.9079784, 0.24718629, -0.064355776, 0.33216348, 2.738736391067505, 3.8663156032562256, 8.572661399841309, -1.018488883972168, 0.43245118856430054, 0.6263778209686279, 
43, 65096692, 0.90802026, 0.2470782, -0.064396046, 0.3321217, 2.734647035598755, 3.9140193462371826, 8.56618595123291, -0.4536905586719513, 0.16883251070976257, 0.3618626594543457, 
44, 65113359, 0.9079595, 0.24702325, -0.064372614, 0.3323332, 2.774521827697754, 3.913815498352051, 8.527076721191406, -0.2407209426164627, 0.021982096135616302, 0.32463452219963074, 
45, 65130026, 0.9079998, 0.24695387, -0.06440143, 0.33226895, 2.7477645874023438, 3.940218687057495, 8.554516792297363, -0.1500263810157776, 0.17144498229026794, 0.2982790768146515, 
46, 65146693, 0.9080282, 0.24684879, -0.06442505, 0.33226472, 2.7458760738372803, 3.9286069869995117, 8.557531356811523, -0.38603460788726807, 0.2820790410041809, 0.4918854832649231, 
47, 65163360, 0.90804446, 0.2468044, -0.06444232, 0.3322502, 2.7457797527313232, 3.8640453815460205, 8.582822799682617, 0.026156969368457794, 0.1652851551771164, 0.4314010739326477, 
48, 65180027, 0.9080529, 0.24676187, -0.06448198, 0.332251, 2.7487261295318604, 3.9389235973358154, 8.540966033935547, 0.010264289565384388, 0.02582400292158127, 0.5410362482070923, 
49, 65196694, 0.90806025, 0.24671526, -0.06454933, 0.3322522, 2.747371196746826, 3.8899407386779785, 8.567422866821289, -0.05988249182701111, -0.10150311887264252, 0.6683313250541687, 
50, 65213361, 0.9081298, 0.24664004, -0.064656794, 0.3320972, 2.7367100715637207, 3.9423532485961914, 8.527970314025879, -0.1225055381655693, 0.017077265307307243, 0.7934109568595886, 
51, 65230028, 0.9081005, 0.24656904, -0.064695604, 0.33222267, 2.7436764240264893, 3.904714584350586, 8.549424171447754, -0.21360990405082703, 0.061822645366191864, 0.9207060933113098, 
52, 65246695, 0.9081612, 0.24650694, -0.064795375, 0.3320831, 2.7521278858184814, 3.853377103805542, 8.561463356018066, -0.02285933308303356, 0.03612031042575836, 0.8399748802185059, 
53, 65263362, 0.9081451, 0.2465087, -0.06483891, 0.33211744, 2.7525672912597656, 3.876225471496582, 8.589881896972656, 0.2982918918132782, -0.10968638211488724, 0.6649376749992371, 
54, 65280029, 0.90817666, 0.24651375, -0.06491623, 0.33201218, 2.753751039505005, 3.9057655334472656, 8.567537307739258, 0.3735932409763336, -0.1569930464029312, 0.5711567997932434, 
55, 65296696, 0.90820724, 0.2465191, -0.06498402, 0.33191127, 2.754080057144165, 3.8888535499572754, 8.556880950927734, 0.3716082274913788, -0.13479962944984436, 0.49082252383232117, 
56, 65313363, 0.9081811, 0.24649304, -0.06501307, 0.33199635, 2.74935245513916, 3.943387269973755, 8.549031257629395, 0.09177669882774353, -0.0371256060898304, 0.6374040246009827, 
57, 65330030, 0.9081922, 0.24642907, -0.065075845, 0.33200142, 2.776149034500122, 3.8653900623321533, 8.546380996704102, -0.10219466686248779, 0.0418703556060791, 0.8206116557121277, 
58, 65346697, 0.9082496, 0.2463633, -0.06514627, 0.3318793, 2.7601277828216553, 3.8891074657440186, 8.567401885986328, -0.023525260388851166, 0.1511213183403015, 0.6687411069869995, 
59, 65363364, 0.90823895, 0.24634369, -0.06517313, 0.33191773, 2.761600971221924, 3.8262557983398438, 8.570226669311523, 0.19178147614002228, 0.03925786167383194, 0.6118937134742737, 
60, 65380031, 0.9082605, 0.24639668, -0.065188676, 0.33181635, 2.77470064163208, 3.81526255607605, 8.595829010009766, 0.7640203833580017, 0.006832187529653311, 0.22550059854984283, 
61, 65396698, 0.9082696, 0.24651925, -0.06518421, 0.3317015, 2.755896806716919, 3.8650217056274414, 8.576733589172363, 1.250610589981079, -0.08239606022834778, 0.03768268600106239, 
62, 65413365, 0.90823776, 0.24665773, -0.06515098, 0.3316919, 2.7567121982574463, 3.8881540298461914, 8.597291946411133, 1.326552152633667, -0.0823063999414444, 0.08080165833234787, 
63, 65430032, 0.90820295, 0.24678978, -0.06514419, 0.33169034, 2.7491869926452637, 3.904193162918091, 8.577241897583008, 1.237612009048462, -0.22261279821395874, 0.1801917552947998, 
64, 65446699, 0.90822786, 0.24688824, -0.06518492, 0.3315406, 2.761091470718384, 3.884324073791504, 8.573938369750977, 1.1023001670837402, -0.1629863977432251, 0.30223625898361206, 
65, 65463366, 0.9082104, 0.24700458, -0.06516414, 0.33150616, 2.7836825847625732, 3.8521268367767334, 8.570199966430664, 1.2151753902435303, -0.02841728925704956, 0.18001246452331543, 
66, 65480033, 0.9082411, 0.24712914, -0.06512905, 0.33133623, 2.782130479812622, 3.865902900695801, 8.54144287109375, 1.3792376518249512, 0.15119817852973938, -0.13453072309494019, 
