sep=,
DeviceTag:,L Lower Leg - 4,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:09:21.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 73932843, 0.58410877, -0.015427428, -0.79714286, -0.15212664, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 73949510, 0.5863682, -0.01687027, -0.79581183, -0.15023841, 9.438796997070312, 2.006504535675049, -2.555027723312378, 0.5570575594902039, 12.307790756225586, 10.770681381225586, 
2, 73966177, 0.589567, -0.01936162, -0.7938458, -0.14779983, 9.443158149719238, 1.9696472883224487, -2.4381203651428223, 0.42723941802978516, 12.439146041870117, 11.266838073730469, 
3, 73982844, 0.59306604, -0.022204068, -0.79151523, -0.14588945, 9.47652530670166, 1.989876389503479, -2.4490303993225098, -0.36332938075065613, 12.783178329467773, 11.75727367401123, 
4, 73999511, 0.5960326, -0.024618484, -0.7894573, -0.14455615, 9.470446586608887, 1.9029966592788696, -2.4134535789489746, -0.8214962482452393, 13.045575141906738, 11.991148948669434, 
5, 74016178, 0.5985649, -0.02719306, -0.78761905, -0.14365529, 9.413728713989258, 1.8305292129516602, -2.2846713066101074, -1.006650686264038, 13.452088356018066, 12.27802562713623, 
6, 74032845, 0.60101765, -0.029449617, -0.78583, -0.14276479, 9.514176368713379, 1.7918169498443604, -2.1466403007507324, -1.6980024576187134, 13.548430442810059, 12.391081809997559, 
7, 74049512, 0.6035018, -0.03178554, -0.7839422, -0.14216271, 9.468005180358887, 1.6514756679534912, -1.9841777086257935, -2.6067802906036377, 13.728551864624023, 12.36365032196045, 
8, 74066179, 0.6059605, -0.03413863, -0.78204286, -0.14161736, 9.480168342590332, 1.4719665050506592, -1.9920573234558105, -2.942652940750122, 12.919676780700684, 12.103449821472168, 
9, 74082846, 0.6083271, -0.03646172, -0.7802163, -0.14096579, 9.463407516479492, 1.427225112915039, -1.904691457748413, -3.264399766921997, 12.452485084533691, 11.650179862976074, 
10, 74099513, 0.61055124, -0.038742285, -0.77848727, -0.14029984, 9.438791275024414, 1.4685455560684204, -1.8660699129104614, -3.504089593887329, 11.585929870605469, 11.270201683044434, 
11, 74116180, 0.6126217, -0.040968604, -0.7768541, -0.13969257, 9.629227638244629, 1.5670621395111084, -1.8928091526031494, -3.5890276432037354, 10.899954795837402, 11.140727996826172, 
12, 74132847, 0.6145948, -0.0431709, -0.775243, -0.13931225, 9.68955135345459, 1.4753286838531494, -1.784903883934021, -3.5238683223724365, 11.139203071594238, 10.64916706085205, 
13, 74149514, 0.61647725, -0.045137234, -0.7737159, -0.13886048, 9.651104927062988, 1.3655955791473389, -1.6384172439575195, -2.1792004108428955, 10.691081047058105, 10.077400207519531, 
14, 74166181, 0.61828023, -0.046944864, -0.77224934, -0.1384087, 9.652798652648926, 1.3558909893035889, -1.5822950601577759, -2.000154495239258, 10.02347183227539, 9.443523406982422, 
15, 74182848, 0.61996794, -0.048722357, -0.7708429, -0.1380846, 9.546611785888672, 1.2567213773727417, -1.571521520614624, -3.5835838317871094, 9.075493812561035, 9.093524932861328, 
16, 74199515, 0.6214591, -0.050634358, -0.76952857, -0.13802357, 9.573023796081543, 1.2005822658538818, -1.5032641887664795, -5.3845415115356445, 7.835453033447266, 8.55445384979248, 
