sep=,
DeviceTag:,L Upper Leg - 6,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:09:21.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 92517083, 0.41300464, 0.584632, -0.4542358, 0.5303797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 92533750, 0.41130552, 0.584724, -0.45600358, 0.53008145, 9.872491836547852, 0.009228712879121304, -0.9837595820426941, 2.7314627170562744, -6.865875244140625, 15.20788288116455, 
2, 92550417, 0.4094293, 0.5844605, -0.45763135, 0.5304215, 9.871838569641113, -0.024356449022889137, -0.9681822061538696, 3.1726677417755127, -6.478073596954346, 16.677913665771484, 
3, 92567084, 0.40759298, 0.5839558, -0.45931154, 0.5309393, 9.774162292480469, -0.00879292469471693, -0.9512776732444763, 4.310540199279785, -7.577900409698486, 17.853519439697266, 
4, 92583751, 0.40613377, 0.58325475, -0.4609753, 0.53138614, 9.719599723815918, -0.0996069684624672, -0.976234495639801, 2.700676918029785, -7.39535665512085, 18.552488327026367, 
5, 92600418, 0.4044432, 0.58256346, -0.46270853, 0.5319272, 9.833038330078125, -0.1118084043264389, -0.9572754502296448, 1.1142758131027222, -7.684487819671631, 19.132158279418945, 
6, 92617085, 0.40279534, 0.58163655, -0.46464467, 0.53250384, 9.693373680114746, -0.08797212690114975, -1.0033644437789917, 3.4979257583618164, -7.706784248352051, 20.26142692565918, 
7, 92633752, 0.40090516, 0.58094925, -0.46635246, 0.53318715, 9.717684745788574, -0.10020898282527924, -1.0981252193450928, 3.033567190170288, -7.6176018714904785, 20.8557071685791, 
8, 92650419, 0.3994272, 0.58007455, -0.4685043, 0.5333623, 9.75864028930664, -0.15175864100456238, -1.080513834953308, -0.9282313585281372, -7.77805233001709, 20.65608787536621, 
9, 92667086, 0.39800242, 0.57913065, -0.47069407, 0.5335251, 9.686814308166504, -0.1297243982553482, -0.9473490715026855, 0.37628960609436035, -7.333536624908447, 20.631202697753906, 
10, 92683753, 0.39664882, 0.57822466, -0.47270876, 0.53373426, 9.713622093200684, -0.20736584067344666, -0.9758350253105164, 0.2657129168510437, -7.301320552825928, 20.04140853881836, 
11, 92700420, 0.3952095, 0.5773411, -0.47441274, 0.5342465, 9.642367362976074, -0.33883655071258545, -0.9478906393051147, 1.2422817945480347, -5.863991737365723, 19.918729782104492, 
12, 92717087, 0.39400816, 0.57630974, -0.476127, 0.53472215, 9.69869327545166, -0.2488185465335846, -1.0321475267410278, 1.1107984781265259, -5.078332424163818, 18.73158836364746, 
13, 92733754, 0.3929276, 0.57529324, -0.47800183, 0.5349391, 9.910624504089355, -0.22350354492664337, -1.0908349752426147, -0.20474174618721008, -6.124202251434326, 18.173295974731445, 
14, 92750421, 0.3918055, 0.5743756, -0.4797145, 0.53521526, 9.851417541503906, -0.3035984933376312, -1.2386629581451416, -0.5347234010696411, -5.689888000488281, 17.923751831054688, 
15, 92767088, 0.39115155, 0.5732746, -0.48168194, 0.53510666, 9.769753456115723, -0.3110463321208954, -1.1359682083129883, -4.126209735870361, -5.230157375335693, 16.6241455078125, 
16, 92783755, 0.39080033, 0.5720657, -0.48381987, 0.5347282, 9.79762077331543, -0.27005288004875183, -1.0880656242370605, -6.151312351226807, -5.312060356140137, 15.664680480957031, 
17, 92800422, 0.3904531, 0.57100534, -0.48574144, 0.53437334, 9.778383255004883, -0.3069077134132385, -1.1074479818344116, -6.272882461547852, -5.117390155792236, 14.622610092163086, 
18, 92817089, 0.39050364, 0.56988376, -0.4877607, 0.5336936, 9.758722305297852, -0.4047884941101074, -1.0358511209487915, -9.583513259887695, -5.098110675811768, 12.894187927246094, 
19, 92833756, 0.3905185, 0.568868, -0.48958185, 0.5330989, 9.812225341796875, -0.4598754942417145, -1.076154112815857, -8.797528266906738, -4.816850662231445, 12.044933319091797, 
20, 92850423, 0.3905817, 0.5678063, -0.49127063, 0.53263056, 9.826472282409668, -0.4653078019618988, -1.141481876373291, -6.856235980987549, -3.7954392433166504, 11.477045059204102, 
