sep=,
DeviceTag:,R Upper Leg - 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-23 11:09:21.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 89450319, 0.5233831, -0.39116946, -0.65874326, -0.3729796, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 89466986, 0.5217684, -0.39183435, -0.65851, -0.37495083, 9.73587417602539, 0.719002902507782, -1.7865047454833984, -7.0660624504089355, 0.7395864725112915, -12.183943748474121, 
2, 89483653, 0.52060705, -0.39225185, -0.6586416, -0.3758964, 9.757257461547852, 0.7676024436950684, -1.8794256448745728, -5.47200345993042, 0.5048202276229858, -13.248140335083008, 
3, 89500320, 0.51915765, -0.39247447, -0.6593628, -0.37640417, 9.621837615966797, 0.9597364664077759, -1.8203155994415283, -3.8315341472625732, 0.11553256958723068, -13.818099975585938, 
4, 89516987, 0.5172594, -0.39224634, -0.66008854, -0.37798005, 9.641919136047363, 0.9913568496704102, -1.7536011934280396, -5.363815784454346, 0.22788278758525848, -13.785816192626953, 
5, 89533654, 0.5155908, -0.3916153, -0.6606518, -0.37992528, 9.5989351272583, 1.0212255716323853, -1.769601583480835, -7.178144931793213, 0.23710337281227112, -13.57316780090332, 
6, 89550321, 0.51380605, -0.39116937, -0.6609601, -0.38225845, 9.625645637512207, 0.9493906497955322, -1.8461204767227173, -10.728516578674316, -0.01818503439426422, -13.520892143249512, 
7, 89566988, 0.51243144, -0.3904978, -0.66141874, -0.38399327, 9.653870582580566, 0.9661691784858704, -1.794876217842102, -8.732259750366211, 0.3085115849971771, -12.960982322692871, 
8, 89583655, 0.5113799, -0.38983092, -0.66184807, -0.38533065, 9.693376541137695, 1.0345548391342163, -1.7821120023727417, -4.542402267456055, 0.447831928730011, -12.039372444152832, 
9, 89600322, 0.51043755, -0.38928744, -0.66217273, -0.3865698, 9.760492324829102, 1.0464853048324585, -1.7462875843048096, -3.893861770629883, 0.30482324957847595, -10.999685287475586, 
10, 89616989, 0.5095822, -0.38889435, -0.6624006, -0.3877018, 9.709446907043457, 0.9147493243217468, -1.910733699798584, -3.3806347846984863, -0.15279264748096466, -9.886429786682129, 
11, 89633656, 0.50899076, -0.38856602, -0.66263896, -0.3884, 9.676767349243164, 0.8801262378692627, -1.923429012298584, -2.6722631454467773, 0.0447261817753315, -8.038470268249512, 
12, 89650323, 0.5083698, -0.38879243, -0.66268647, -0.38890553, 9.608122825622559, 0.8745755553245544, -1.8869587182998657, -2.457192897796631, -0.806134045124054, -5.484806060791016, 
13, 89666990, 0.5079576, -0.3892937, -0.6625598, -0.3891582, 9.573480606079102, 0.8567665219306946, -2.0054471492767334, -4.13616943359375, -0.7875007390975952, -2.3798935413360596, 
14, 89683657, 0.50762486, -0.3902751, -0.66215485, -0.3892986, 9.610936164855957, 0.8156780004501343, -2.0723583698272705, -5.3187079429626465, -0.5677312016487122, 0.7985849380493164, 
15, 89700324, 0.5072253, -0.39190757, -0.66129273, -0.3896448, 9.663606643676758, 0.7540886402130127, -2.080444097518921, -9.227322578430176, -2.4332069733645767E-4, 3.7372589111328125, 
16, 89716991, 0.5068317, -0.3939593, -0.6601107, -0.3900918, 9.615397453308105, 0.6798532009124756, -1.9421964883804321, -12.751700401306152, 0.41488116979599, 6.095345973968506, 
17, 89733658, 0.50632024, -0.3965668, -0.6584964, -0.39084196, 9.687726020812988, 0.7269905209541321, -1.8760931491851807, -16.79895782470703, 0.6683067083358765, 8.087176322937012, 
18, 89750325, 0.50599754, -0.3992149, -0.65677834, -0.39145404, 9.869990348815918, 0.9049858450889587, -1.8794654607772827, -16.222694396972656, 1.1189370155334473, 9.597288131713867, 
19, 89766992, 0.5058881, -0.40146756, -0.6552368, -0.39187497, 9.879768371582031, 1.0264333486557007, -1.88083016872406, -13.268132209777832, 1.7095144987106323, 8.99048137664795, 
20, 89783659, 0.5060045, -0.4030007, -0.65410626, -0.39203957, 9.748053550720215, 1.0652515888214111, -1.792521357536316, -8.418474197387695, 2.2590086460113525, 6.723879814147949, 
21, 89800326, 0.5062198, -0.40389886, -0.65332365, -0.39214256, 9.631413459777832, 0.9056227803230286, -1.7672908306121826, -4.593356609344482, 2.8015623092651367, 3.8652830123901367, 
22, 89816993, 0.50664574, -0.40410885, -0.6531062, -0.39173773, 9.70221996307373, 1.0441720485687256, -1.6626290082931519, 2.501675844192505, 2.0631351470947266, 1.7351900339126587, 
23, 89833660, 0.5070454, -0.4039765, -0.65326244, -0.3910961, 9.850370407104492, 1.033820390701294, -1.7432637214660645, 6.657989978790283, 0.7302757501602173, 0.09893546253442764, 
24, 89850327, 0.5074248, -0.4035687, -0.65364647, -0.39038286, 9.604826927185059, 0.7087261080741882, -1.7603801488876343, 7.867793083190918, 0.1515311449766159, -1.1838319301605225, 
25, 89866994, 0.50799596, -0.40292338, -0.6542387, -0.38931307, 9.430095672607422, 0.48120835423469543, -1.7885446548461914, 12.685317039489746, -0.014407150447368622, -1.3439886569976807, 
26, 89883661, 0.50876254, -0.40233627, -0.6547831, -0.38800207, 9.495508193969727, 0.6268447041511536, -1.7975443601608276, 14.758234024047852, 0.26315149664878845, 0.08817818015813828, 
27, 89900328, 0.509402, -0.40209308, -0.65517086, -0.3867588, 9.59992504119873, 0.7896091341972351, -1.846028208732605, 9.842894554138184, -0.7888458371162415, 1.9538720846176147, 
28, 89916995, 0.50969744, -0.40263984, -0.6550784, -0.38595617, 9.679743766784668, 1.0022048950195312, -1.8655599355697632, 4.899293899536133, -1.3470488786697388, 4.10592794418335, 
29, 89933662, 0.5101983, -0.4032864, -0.65490574, -0.38491082, 9.626703262329102, 1.206469178199768, -1.8204345703125, 4.433706283569336, -1.2437528371810913, 6.696371078491211, 
30, 89950329, 0.51061535, -0.40436977, -0.6543664, -0.3841379, 9.546932220458984, 1.3304003477096558, -1.6529563665390015, 0.5894954800605774, -0.7631816267967224, 8.816487312316895, 
31, 89966996, 0.5105435, -0.40621206, -0.65325433, -0.3841824, 9.64837646484375, 1.2632075548171997, -1.6593905687332153, -6.985546588897705, -0.6560439467430115, 9.727790832519531, 
32, 89983663, 0.51036954, -0.40806016, -0.65203995, -0.38451764, 9.765206336975098, 1.0311493873596191, -1.7982606887817383, -10.759223937988281, -0.2342667132616043, 9.391767501831055, 
33, 90000330, 0.51019317, -0.40969637, -0.65100116, -0.38477215, 9.78657054901123, 0.8423272371292114, -1.7552276849746704, -8.70089340209961, -0.517517626285553, 8.266009330749512, 
34, 90016997, 0.51021683, -0.4109304, -0.6502494, -0.3846957, 9.766268730163574, 0.7647156119346619, -1.720009684562683, -4.805136203765869, -0.5707280039787292, 7.442829132080078, 
35, 90033664, 0.51038605, -0.41192484, -0.6496489, -0.38442206, 9.747323036193848, 0.7716164588928223, -1.796616554260254, -1.6228336095809937, -0.37422722578048706, 6.908713340759277, 
36, 90050331, 0.51076776, -0.41261607, -0.6492141, -0.3839081, 9.694387435913086, 0.8431990146636963, -1.8153862953186035, 0.14109398424625397, -0.012422160245478153, 6.772388935089111, 
37, 90066998, 0.5110122, -0.41342705, -0.6487452, -0.3835029, 9.66032600402832, 0.8923146724700928, -1.8453781604766846, -0.1360674798488617, -0.43093374371528625, 6.503315448760986, 
38, 90083665, 0.5113185, -0.41416875, -0.6482755, -0.38308838, 9.72590446472168, 0.9010277390480042, -1.9069592952728271, -0.34360721707344055, -0.037164028733968735, 6.589809417724609, 
39, 90100332, 0.5114421, -0.4151208, -0.64767706, -0.38290516, 9.674980163574219, 0.9211286902427673, -1.9018933773040771, -2.3603134155273438, -0.22263844311237335, 6.554656505584717, 
40, 90116999, 0.51144594, -0.41625962, -0.64694405, -0.3829029, 9.6298189163208, 0.8978927135467529, -1.8516571521759033, -4.015329360961914, -0.19995839893817902, 6.799129486083984, 
41, 90133666, 0.5114046, -0.41744912, -0.6461602, -0.3829866, 9.6005859375, 0.7821177244186401, -1.7701694965362549, -5.739192962646484, -0.16646979749202728, 6.9830546379089355, 
42, 90150333, 0.5112789, -0.41870406, -0.6453237, -0.3831947, 9.650609016418457, 0.5612934827804565, -1.875685453414917, -6.834378719329834, -0.1828875094652176, 6.780803680419922, 
43, 90167000, 0.5111737, -0.41989714, -0.64451754, -0.38338634, 9.667620658874512, 0.42925429344177246, -1.976780891418457, -6.453108310699463, -0.07270165532827377, 6.504480838775635, 
44, 90183667, 0.5111524, -0.4209389, -0.6438335, -0.38342172, 9.668292045593262, 0.33520159125328064, -1.9830797910690308, -4.0586652755737305, -0.10552433133125305, 6.074775218963623, 
45, 90200334, 0.51136327, -0.4215902, -0.64344096, -0.3830841, 9.665933609008789, 0.31021398305892944, -1.965440273284912, -0.6219276189804077, -0.1835918426513672, 5.542364597320557, 
46, 90217001, 0.5116152, -0.42210358, -0.6431364, -0.38269353, 9.663032531738281, 0.33283743262290955, -2.0326645374298096, 0.9453712105751038, -0.04222254082560539, 4.806575298309326, 
47, 90233668, 0.5118549, -0.4225329, -0.6428938, -0.38230628, 9.641825675964355, 0.4286956787109375, -1.9615193605422974, 1.4686897993087769, -0.03729209303855896, 4.135279655456543, 
48, 90250335, 0.51212263, -0.42282438, -0.64271873, -0.38191974, 9.670537948608398, 0.5548880100250244, -1.912409782409668, 1.8861898183822632, 0.21490977704524994, 3.437986373901367, 
49, 90267002, 0.512304, -0.4231092, -0.642546, -0.38165167, 9.66880989074707, 0.6231095790863037, -1.8578404188156128, 1.3405239582061768, 0.20625269412994385, 2.730947971343994, 
50, 90283669, 0.51251054, -0.4233145, -0.6423522, -0.38147292, 9.690438270568848, 0.5915869474411011, -1.8603209257125854, 0.486711710691452, 0.8080358505249023, 2.361215591430664, 
51, 90300336, 0.51268744, -0.4235369, -0.6420994, -0.38141376, 9.70460319519043, 0.5323677659034729, -1.8601491451263428, 0.466234415769577, 1.229838490486145, 1.9762439727783203, 
52, 90317003, 0.51290315, -0.4235943, -0.6419784, -0.38126397, 9.690640449523926, 0.5175994038581848, -1.8161001205444336, 0.4185435175895691, 1.0136418342590332, 1.5691810846328735, 
53, 90333670, 0.51313525, -0.42359632, -0.64195293, -0.3809925, 9.700550079345703, 0.5328223705291748, -1.8086779117584229, 2.7431652545928955, 0.6013798117637634, 1.2815890312194824, 
54, 90350337, 0.5135263, -0.4233356, -0.64210296, -0.38050184, 9.668479919433594, 0.5290842652320862, -1.8882192373275757, 5.14420223236084, 0.6982727646827698, 0.8861163258552551, 
55, 90367004, 0.5138815, -0.42307675, -0.64225185, -0.38005856, 9.6597900390625, 0.5224177837371826, -1.8853527307510376, 4.805192470550537, 0.6800364255905151, 0.6479693055152893, 
56, 90383671, 0.5141238, -0.42294616, -0.6423249, -0.37975273, 9.624671936035156, 0.540957510471344, -1.8697177171707153, 3.988288402557373, 0.5576077103614807, 0.5161151885986328, 
57, 90400338, 0.5143374, -0.42283902, -0.6423778, -0.3794934, 9.678597450256348, 0.5766482353210449, -1.874071717262268, 3.002660036087036, 0.5463125109672546, 0.5542652606964111, 
58, 90417005, 0.5145191, -0.42274728, -0.64242643, -0.3792665, 9.670716285705566, 0.5840440988540649, -1.8535135984420776, 2.6417899131774902, 0.47226613759994507, 0.46318650245666504, 
59, 90433672, 0.51475924, -0.4226109, -0.64249754, -0.3789722, 9.680347442626953, 0.593978226184845, -1.8418406248092651, 3.7645103931427, 0.5896108746528625, 0.5261553525924683, 
60, 90450339, 0.51507366, -0.42234635, -0.6426742, -0.37854016, 9.713438987731934, 0.5240519642829895, -1.931552767753601, 4.883016109466553, 0.4559892416000366, 0.4315803647041321, 
61, 90467006, 0.51541877, -0.42207232, -0.6428685, -0.37804583, 9.663247108459473, 0.5319312214851379, -1.8805938959121704, 5.957956314086914, 0.40975841879844666, 0.5264883041381836, 
62, 90483673, 0.51574737, -0.4218274, -0.6430445, -0.37757146, 9.660204887390137, 0.5573024153709412, -1.8765262365341187, 4.9289140701293945, 0.35238587856292725, 0.7412123084068298, 
63, 90500340, 0.5159208, -0.42176127, -0.64308757, -0.37733492, 9.660029411315918, 0.5513102412223816, -1.9503964185714722, 3.410081148147583, 0.4070433974266052, 0.5022842288017273, 
64, 90517007, 0.5160922, -0.42161608, -0.643201, -0.37706947, 9.662739753723145, 0.5470623970031738, -1.90976083278656, 3.6883504390716553, 0.26477769017219543, 0.11210038512945175, 
65, 90533674, 0.51634204, -0.4213526, -0.6433753, -0.37672454, 9.673798561096191, 0.5619723200798035, -1.8546985387802124, 5.252954483032227, 0.4999791979789734, -0.16745583713054657, 
66, 90550341, 0.5165936, -0.42102632, -0.6436078, -0.37634677, 9.688637733459473, 0.5502984523773193, -1.8738280534744263, 5.9131340980529785, 0.3698282241821289, -0.5083993673324585, 
67, 90567008, 0.5169458, -0.42053378, -0.64393103, -0.37586072, 9.673837661743164, 0.5775040984153748, -1.9167283773422241, 7.10129451751709, 0.5894826650619507, -0.77647465467453, 
68, 90583675, 0.5172724, -0.4199606, -0.6443787, -0.37528458, 9.647207260131836, 0.5268558263778687, -1.848190426826477, 6.959952354431152, -0.06188030168414116, -1.027274489402771, 
69, 90600342, 0.5175705, -0.4194133, -0.6448531, -0.37467033, 9.637231826782227, 0.4403616189956665, -1.9072059392929077, 9.023886680603027, -0.3717171847820282, -1.2956697940826416, 
70, 90617009, 0.5181483, -0.41852996, -0.64551926, -0.3737113, 9.643406867980957, 0.41592633724212646, -1.9470481872558594, 11.681694984436035, -0.00107573380228132, -1.1437228918075562, 
71, 90633676, 0.5187838, -0.4175778, -0.6462539, -0.3726235, 9.66158676147461, 0.474350243806839, -1.8632352352142334, 13.304402351379395, -0.15340735018253326, -1.1331833600997925, 
72, 90650343, 0.5195782, -0.41638914, -0.64719, -0.37121946, 9.648618698120117, 0.4178919792175293, -1.828528881072998, 16.3633975982666, -0.474770188331604, -1.1992900371551514, 
73, 90667010, 0.52036905, -0.4152296, -0.6481579, -0.36971867, 9.667241096496582, 0.37141916155815125, -1.73116135597229, 17.885950088500977, -0.9104428887367249, -1.0426429510116577, 
74, 90683677, 0.5210563, -0.41417724, -0.6490711, -0.36832675, 9.653450965881348, 0.3098371922969818, -1.9111416339874268, 15.573476791381836, -1.2021970748901367, -0.8819228410720825, 
75, 90700344, 0.5215516, -0.41336602, -0.64983165, -0.36719394, 9.700464248657227, 0.41474297642707825, -1.9458988904953003, 13.022099494934082, -1.3624043464660645, -0.8773123621940613, 
76, 90717011, 0.52218276, -0.41240248, -0.6506096, -0.36600104, 9.72741413116455, 0.5809376835823059, -1.8903381824493408, 13.713027000427246, -0.6325315833091736, -0.9495528936386108, 
77, 90733678, 0.5228, -0.4114312, -0.6513616, -0.3648736, 9.76461410522461, 0.7181891798973083, -1.8802980184555054, 14.047082901000977, -0.36592888832092285, -1.3000630140304565, 
78, 90750345, 0.52332777, -0.410501, -0.65211064, -0.36382535, 9.719683647155762, 0.7271931171417236, -1.7906215190887451, 12.770442008972168, -0.6577600836753845, -1.4929522275924683, 
79, 90767012, 0.52366066, -0.40987155, -0.6526527, -0.36308303, 9.665201187133789, 0.6726086735725403, -1.722093105316162, 11.073219299316406, -0.6145128607749939, -1.4680434465408325, 
80, 90783679, 0.5239969, -0.4091546, -0.65330154, -0.36223888, 9.562041282653809, 0.5327425599098206, -1.9334379434585571, 10.574885368347168, -1.1348862648010254, -1.468222975730896, 
81, 90800346, 0.52414775, -0.4086144, -0.6538522, -0.3616365, 9.557276725769043, 0.5717063546180725, -2.052755355834961, 8.167609214782715, -1.365931749343872, -1.7396081686019897, 
82, 90817013, 0.52424043, -0.4081775, -0.6542983, -0.3611882, 9.672011375427246, 0.5280357003211975, -1.9899357557296753, 6.082088947296143, -1.0782564878463745, -1.554588794708252, 
83, 90833680, 0.5243618, -0.4077333, -0.6547195, -0.3607505, 9.73398494720459, 0.5131757259368896, -1.9067968130111694, 6.720767021179199, -0.782160758972168, -1.6018825769424438, 
84, 90850347, 0.52429837, -0.4074675, -0.6550092, -0.36061677, 9.778865814208984, 0.6840934157371521, -1.892006278038025, 3.158205986022949, -0.7543580532073975, -1.8425778150558472, 
85, 90867014, 0.5240433, -0.40751824, -0.65499455, -0.36095658, 9.772306442260742, 0.8639318943023682, -1.8136330842971802, -0.9204691648483276, 0.03355903923511505, -1.8201664686203003, 
86, 90883681, 0.52367467, -0.40786314, -0.65467966, -0.36167288, 9.729382514953613, 0.8099185228347778, -1.6883844137191772, -4.439334869384766, 0.9289600849151611, -1.314456820487976, 
87, 90900348, 0.52330536, -0.4083175, -0.654299, -0.36238283, 9.789287567138672, 0.8153859376907349, -1.7284882068634033, -5.920754432678223, 0.8126143217086792, -0.4019337594509125, 
88, 90917015, 0.5229651, -0.40873897, -0.65388376, -0.36314723, 9.76642894744873, 0.8720011711120605, -1.8077610731124878, -5.779301643371582, 1.2969695329666138, -0.5990810990333557, 
89, 90933682, 0.52259105, -0.4090447, -0.65356123, -0.3639216, 9.657588005065918, 0.6817419528961182, -1.8689370155334473, -5.2694292068481445, 1.116310477256775, -1.4672620296478271, 
90, 90950349, 0.52223235, -0.40925983, -0.65329057, -0.3646797, 9.5849609375, 0.5438335537910461, -1.8191732168197632, -4.765832424163818, 1.175270915031433, -1.895327091217041, 
91, 90967016, 0.5220019, -0.40934834, -0.6531053, -0.36524186, 9.667996406555176, 0.5949512124061584, -1.8512600660324097, -3.050908327102661, 1.199526071548462, -1.6378554105758667, 
92, 90983683, 0.5217169, -0.40953338, -0.6528553, -0.3658877, 9.698390007019043, 0.7145561575889587, -1.9490708112716675, -3.2156617641448975, 1.2137154340744019, -1.6253308057785034, 
93, 91000350, 0.5213624, -0.40970024, -0.65263325, -0.36660206, 9.649909973144531, 0.7731358408927917, -1.9031343460083008, -4.261171340942383, 1.0148327350616455, -2.060297966003418, 
94, 91017017, 0.5208923, -0.41008043, -0.652198, -0.36761805, 9.610459327697754, 0.7229318022727966, -1.8464078903198242, -7.033441543579102, 1.5834863185882568, -1.896223783493042, 
95, 91033684, 0.5203435, -0.41062823, -0.6516395, -0.36877257, 9.640852928161621, 0.6256139874458313, -1.924754023551941, -8.504992485046387, 1.6524741649627686, -1.5335477590560913, 
96, 91050351, 0.51983464, -0.41110727, -0.65115315, -0.369814, 9.67620849609375, 0.5731055736541748, -1.9126166105270386, -7.5017170906066895, 1.427299976348877, -1.5254541635513306, 
97, 91067018, 0.51938444, -0.411427, -0.6507895, -0.37072986, 9.687090873718262, 0.5174864530563354, -1.9436222314834595, -6.2469258308410645, 1.2924104928970337, -1.9209396839141846, 
98, 91083685, 0.5190278, -0.4116043, -0.6505518, -0.3714493, 9.613139152526855, 0.5323656797409058, -1.9199942350387573, -4.307364463806152, 1.0762649774551392, -1.9731509685516357, 
99, 91100352, 0.51866287, -0.41182303, -0.6502961, -0.37216398, 9.597464561462402, 0.4947866201400757, -1.967627763748169, -4.107919216156006, 1.009710431098938, -1.822164535522461, 
100, 91117019, 0.5183315, -0.41204396, -0.6500547, -0.37280157, 9.65157699584961, 0.48419156670570374, -2.0397958755493164, -3.8478341102600098, 0.8862825632095337, -1.4609482288360596, 
101, 91133686, 0.5180502, -0.41230226, -0.64977425, -0.37339562, 9.65805721282959, 0.587967038154602, -1.9297113418579102, -2.986043691635132, 1.0865483283996582, -1.0526562929153442, 
102, 91150353, 0.5178282, -0.4125092, -0.6495262, -0.3739064, 9.685173988342285, 0.6437085866928101, -1.8564174175262451, -3.3137710094451904, 1.075842261314392, -0.7131727933883667, 
103, 91167020, 0.51755047, -0.41279188, -0.6491868, -0.37456807, 9.7361421585083, 0.650738000869751, -1.9588849544525146, -4.834423542022705, 1.376586675643921, -0.7590965032577515, 
104, 91183687, 0.5172077, -0.41309106, -0.64885205, -0.37529072, 9.693161010742188, 0.5701647400856018, -2.0535364151000977, -4.827213287353516, 1.235588788986206, -1.1770446300506592, 
105, 91200354, 0.51701516, -0.41315123, -0.64869887, -0.37575436, 9.589876174926758, 0.5029363036155701, -1.9913605451583862, -1.949625849723816, 1.151911973953247, -1.4517918825149536, 
