sep=,
DeviceTag:,L Foot - 2,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-25 15:19:41.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1140625395, 0.9370845, 0.20047359, -0.1848426, 0.21798207, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1140642062, 0.9370237, 0.20029224, -0.18492267, 0.2183424, 4.2806715965271, 2.9556210041046143, 8.327147483825684, -1.5220600366592407, 0.37706372141838074, 0.6071938276290894, 
2, 1140658729, 0.93695366, 0.20062979, -0.18509415, 0.21818778, 4.282045841217041, 2.9387621879577637, 8.343751907348633, -1.8294254541397095, 0.4925770163536072, 0.821098268032074, 
3, 1140675396, 0.9368955, 0.20086263, -0.185276, 0.21806909, 4.2699666023254395, 2.9307055473327637, 8.335644721984863, -1.9066224098205566, 0.3088059425354004, 1.060231328010559, 
4, 1140692063, 0.93678343, 0.20099819, -0.1852902, 0.21841264, 4.312028408050537, 2.8736941814422607, 8.332365036010742, -1.9016534090042114, 0.47582635283470154, 1.190753698348999, 
5, 1140708730, 0.93663985, 0.20100442, -0.1854071, 0.21892287, 4.270514011383057, 2.8064651489257812, 8.343120574951172, -1.121336817741394, 0.4713313579559326, 1.0665063858032227, 
6, 1140725397, 0.936555, 0.20081507, -0.18549743, 0.21938306, 4.268392086029053, 2.8095788955688477, 8.356281280517578, -0.5369189977645874, 0.40800389647483826, 0.8716321587562561, 
7, 1140742064, 0.9364244, 0.20071752, -0.18549466, 0.22003102, 4.268171310424805, 2.7527711391448975, 8.344578742980957, 0.33669811487197876, 0.1544637829065323, 0.5176005959510803, 
8, 1140758731, 0.93630964, 0.20062765, -0.18547477, 0.22061747, 4.269196510314941, 2.8293709754943848, 8.348000526428223, 1.0261536836624146, 0.14105555415153503, 0.2401510775089264, 
9, 1140775398, 0.93621653, 0.20058396, -0.18542115, 0.22109672, 4.2598443031311035, 2.8553354740142822, 8.32460880279541, 1.1221883296966553, 0.2606284022331238, 0.22480906546115875, 
10, 1140792065, 0.93621397, 0.20050362, -0.18546942, 0.22114009, 4.26625919342041, 2.9063916206359863, 8.34952163696289, 0.9030333161354065, 0.02637467533349991, 0.2956666052341461, 
11, 1140808732, 0.9361965, 0.20052613, -0.1854976, 0.22116995, 4.292912006378174, 2.8228299617767334, 8.35319709777832, 1.0905566215515137, -0.10989128053188324, 0.28823888301849365, 
12, 1140825399, 0.9361383, 0.20063424, -0.18546514, 0.22134528, 4.289602279663086, 2.862661123275757, 8.337732315063477, 1.414621353149414, -0.02143782563507557, -0.029480217024683952, 
13, 1140842066, 0.93602157, 0.20079969, -0.18536344, 0.22177364, 4.2823076248168945, 2.9090611934661865, 8.337597846984863, 1.4130975008010864, 0.17098397016525269, 0.16739818453788757, 
14, 1140858733, 0.93592215, 0.20096304, -0.1852663, 0.2221265, 4.297447681427002, 2.8664283752441406, 8.332952499389648, 1.311491847038269, 0.24481260776519775, 0.2862282991409302, 
15, 1140875400, 0.9360243, 0.20094372, -0.18532865, 0.22166054, 4.281218528747559, 2.863076686859131, 8.334051132202148, 1.0773532390594482, 0.39188069105148315, 0.16892215609550476, 
16, 1140892067, 0.93590796, 0.20112693, -0.18519379, 0.22209828, 4.278564453125, 2.835245132446289, 8.341825485229492, 1.189626693725586, 0.35241153836250305, 0.12064222246408463, 
17, 1140908734, 0.9358687, 0.20123844, -0.18510199, 0.22223924, 4.261205196380615, 2.879331350326538, 8.349580764770508, 1.09479558467865, 0.45336395502090454, -0.03923865407705307, 
18, 1140925401, 0.9356391, 0.20148733, -0.18487334, 0.22316861, 4.260351181030273, 2.9004998207092285, 8.345391273498535, 0.9361825585365295, 0.25525614619255066, 0.16963288187980652, 
19, 1140942068, 0.9352217, 0.20188451, -0.1844854, 0.22487362, 4.275419235229492, 2.8560001850128174, 8.344847679138184, 0.8188187479972839, 0.16606633365154266, 0.19248582422733307, 
20, 1140958735, 0.93543005, 0.20177887, -0.18463102, 0.22398111, 4.283244609832764, 2.8813531398773193, 8.338162422180176, 0.9273014068603516, 0.32244470715522766, 0.13106660544872284, 
21, 1140975402, 0.9354496, 0.20180012, -0.1845951, 0.22390957, 4.264026641845703, 2.903440237045288, 8.314156532287598, 0.7085433006286621, 0.4482029974460602, 0.23242883384227753, 
22, 1140992069, 0.93545157, 0.20183794, -0.18452737, 0.22392328, 4.283764362335205, 2.8709728717803955, 8.336313247680664, 0.6406823992729187, 0.5171139240264893, 0.16759029030799866, 
23, 1141008736, 0.9352955, 0.20203757, -0.18435031, 0.22453976, 4.232667922973633, 2.8023681640625, 8.332306861877441, 0.851897656917572, 0.2741263508796692, 0.05977364629507065, 
24, 1141025403, 0.93530405, 0.20228, -0.18437123, 0.22426882, 4.256279468536377, 2.7253737449645996, 8.370599746704102, 2.113105297088623, -0.36672264337539673, -0.6398820877075195, 
25, 1141042070, 0.9352406, 0.20290431, -0.18436874, 0.22397132, 4.263318061828613, 2.6724700927734375, 8.392049789428711, 4.616272449493408, -1.0662566423416138, -1.5928921699523926, 
26, 1141058737, 0.9352235, 0.20355247, -0.1844076, 0.22342224, 4.284415245056152, 2.8923988342285156, 8.352132797241211, 5.254004001617432, -1.1369478702545166, -1.7577228546142578, 
27, 1141075404, 0.9348553, 0.20454825, -0.18411846, 0.22429055, 4.2727274894714355, 2.852902412414551, 8.354713439941406, 5.640179634094238, -1.1763402223587036, -1.9671450853347778, 
28, 1141092071, 0.93478173, 0.2053122, -0.1840814, 0.22392926, 4.289509296417236, 2.966212034225464, 8.336844444274902, 5.718963623046875, -1.105303168296814, -2.0353643894195557, 
29, 1141108738, 0.93467396, 0.20603839, -0.18399374, 0.2237838, 4.293010234832764, 2.985367774963379, 8.31712532043457, 5.197695255279541, -0.8829210996627808, -1.8143911361694336, 
