sep=,
DeviceTag:,L Forearm - 10,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-25 15:19:41.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1213479089, 0.56850886, 0.5757468, -0.343944, 0.4764621, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1213495756, 0.5679491, 0.57570195, -0.34470588, 0.47663304, 9.273453712463379, 3.2796525955200195, 0.9917586445808411, -0.673409104347229, -3.6815693378448486, 6.188316822052002, 
2, 1213512423, 0.5676181, 0.57599986, -0.34486055, 0.47655553, 9.251496315002441, 3.3066320419311523, 0.9872222542762756, -0.3671324551105499, -3.6122617721557617, 4.433091163635254, 
3, 1213529090, 0.56770146, 0.57636607, -0.34483725, 0.47603014, 9.316021919250488, 3.333510637283325, 0.9950121641159058, -0.5766187906265259, -3.727173328399658, 2.9688005447387695, 
4, 1213545757, 0.56793827, 0.5766761, -0.34483698, 0.47537187, 9.376784324645996, 3.359877347946167, 1.0142872333526611, -0.9943106770515442, -3.859257459640503, 1.828932523727417, 
5, 1213562424, 0.5683159, 0.57689637, -0.34492794, 0.4745866, 9.39426040649414, 3.348644495010376, 1.0849679708480835, -1.0748368501663208, -4.060675621032715, 0.5913395285606384, 
6, 1213579091, 0.56864524, 0.5770746, -0.34489495, 0.47399932, 9.404815673828125, 3.3340606689453125, 1.0816481113433838, -0.7535256147384644, -4.379208087921143, -0.2455233484506607, 
7, 1213595758, 0.5690343, 0.5771444, -0.34508097, 0.47331125, 9.385594367980957, 3.380035161972046, 1.1103867292404175, -0.6193535327911377, -4.849739074707031, -0.6762778162956238, 
8, 1213612425, 0.5695006, 0.57712936, -0.3453973, 0.47253722, 9.331600189208984, 3.4260106086730957, 1.1403735876083374, -1.2554962635040283, -5.306337356567383, -0.7342392802238464, 
9, 1213629092, 0.5700027, 0.57709247, -0.3456711, 0.47177652, 9.291059494018555, 3.417696237564087, 1.1781326532363892, -2.6054906845092773, -5.661073207855225, -0.8660295605659485, 
10, 1213645759, 0.5705589, 0.5769842, -0.3459611, 0.4710233, 9.310470581054688, 3.405036687850952, 1.1744849681854248, -3.735856533050537, -5.836892127990723, -0.8758264183998108, 
11, 1213662426, 0.5712144, 0.5767958, -0.34631896, 0.4701956, 9.348445892333984, 3.356717109680176, 1.160228967666626, -4.199945449829102, -5.680692195892334, -1.198840856552124, 
12, 1213679093, 0.571681, 0.5767317, -0.34644997, 0.46961033, 9.343958854675293, 3.3221848011016846, 1.1948150396347046, -3.865814447402954, -5.287742614746094, -1.5307046175003052, 
13, 1213695760, 0.57212996, 0.5766964, -0.34650522, 0.4690658, 9.337629318237305, 3.2864608764648438, 1.205296277999878, -3.1761672496795654, -4.844974517822266, -2.132154703140259, 
14, 1213712427, 0.57264143, 0.5766376, -0.34655514, 0.46847683, 9.300365447998047, 3.2795345783233643, 1.2062844038009644, -2.633574962615967, -4.3516106605529785, -2.814157009124756, 
15, 1213729094, 0.57318866, 0.5765856, -0.34657186, 0.46785903, 9.282317161560059, 3.2767648696899414, 1.2406554222106934, -2.0131969451904297, -3.9149274826049805, -3.427748203277588, 
16, 1213745761, 0.57381237, 0.5764966, -0.34658557, 0.46719337, 9.310165405273438, 3.282916307449341, 1.2664748430252075, -1.514543056488037, -3.3714895248413086, -3.9077296257019043, 
17, 1213762428, 0.57429105, 0.5765165, -0.3463278, 0.46677172, 9.341412544250488, 3.283003330230713, 1.265070915222168, -0.9310088753700256, -2.6706364154815674, -4.19456672668457, 
18, 1213779095, 0.57481146, 0.57650423, -0.3460381, 0.46636078, 9.332700729370117, 3.2662577629089355, 1.2673819065093994, -0.25699782371520996, -1.9157658815383911, -4.420085906982422, 
19, 1213795762, 0.57527626, 0.57651913, -0.34561324, 0.46608415, 9.314679145812988, 3.291064739227295, 1.274698257446289, 0.14640861749649048, -1.2205734252929688, -4.53863525390625, 
20, 1213812429, 0.5756496, 0.57658607, -0.34499282, 0.46599996, 9.36264419555664, 3.268557071685791, 1.2622708082199097, 0.34161579608917236, -0.503033459186554, -4.620941638946533, 
21, 1213829096, 0.57607377, 0.57658005, -0.34439084, 0.46592885, 9.394630432128906, 3.2418415546417236, 1.2857609987258911, 0.4276617467403412, 0.18097294867038727, -4.54553747177124, 
22, 1213845763, 0.5764768, 0.5765293, -0.3437917, 0.46593544, 9.41162109375, 3.2236766815185547, 1.2911423444747925, 0.4044820964336395, 0.6382235884666443, -4.2084736824035645, 
23, 1213862430, 0.57678926, 0.5764736, -0.34314197, 0.46609655, 9.376062393188477, 3.1960084438323975, 1.3099596500396729, 0.6018664240837097, 1.1121737957000732, -3.706925868988037, 
24, 1213879097, 0.5771453, 0.5763259, -0.34259674, 0.46623963, 9.33751392364502, 3.1974852085113525, 1.3127855062484741, 0.7799131274223328, 1.5178662538528442, -3.2964699268341064, 
25, 1213895764, 0.5772784, 0.57628685, -0.34184697, 0.46667308, 9.287871360778809, 3.217302083969116, 1.336759328842163, 0.8370805978775024, 1.730643630027771, -2.8641655445098877, 
26, 1213912431, 0.5776605, 0.5760002, -0.34143645, 0.466855, 9.24709415435791, 3.254258871078491, 1.3132266998291016, 0.13811008632183075, 1.9340471029281616, -2.4532358646392822, 
27, 1213929098, 0.5780459, 0.5756507, -0.34108284, 0.46706754, 9.216194152832031, 3.2714757919311523, 1.2562264204025269, -0.958555281162262, 1.8670698404312134, -2.042433500289917, 
28, 1213945765, 0.5786646, 0.5750568, -0.341107, 0.46701506, 9.215493202209473, 3.3089756965637207, 1.2234233617782593, -2.231813669204712, 1.7016116380691528, -1.4730374813079834, 
