sep=,
DeviceTag:,L Lower Leg - 4,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-25 15:19:41.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1140492341, 0.6528765, -0.0051101507, -0.7471243, -0.12462602, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1140509008, 0.6528827, -0.004536629, -0.74716985, -0.12434282, 9.707715034484863, 1.6636364459991455, -1.1561447381973267, -5.369753360748291, -1.7021687030792236, 0.7990841865539551, 
2, 1140525675, 0.65295166, -0.0054032723, -0.7472387, -0.1235293, 9.743976593017578, 1.4112014770507812, -1.192833423614502, -3.94020676612854, -1.4839869737625122, 0.9130223393440247, 
3, 1140542342, 0.6530374, -0.007528361, -0.7475002, -0.12136388, 9.785562515258789, 1.2751127481460571, -1.2827813625335693, -2.739764928817749, -1.585477352142334, 0.714587926864624, 
4, 1140559009, 0.65277517, -0.010268834, -0.7480543, -0.119138636, 9.789680480957031, 1.302253246307373, -1.2866244316101074, -2.763559103012085, -1.877116322517395, 0.2136419117450714, 
5, 1140575676, 0.6524244, -0.012400732, -0.74862623, -0.11724992, 9.777251243591309, 1.3605607748031616, -1.2558307647705078, -3.3699021339416504, -2.1912691593170166, -0.06851398199796677, 
6, 1140592343, 0.652086, -0.014104698, -0.7490786, -0.11604347, 9.795878410339355, 1.4394855499267578, -1.2181236743927002, -3.967407703399658, -2.3058602809906006, -0.03339896351099014, 
7, 1140609010, 0.6517769, -0.015423126, -0.74941033, -0.11546886, 9.80713939666748, 1.4774757623672485, -1.1744420528411865, -4.616331100463867, -2.577470302581787, -0.23157724738121033, 
8, 1140625677, 0.6516442, -0.015723528, -0.7496404, -0.11468224, 9.786124229431152, 1.530106782913208, -1.1608377695083618, -4.148962497711182, -2.552663803100586, -0.45892831683158875, 
9, 1140642344, 0.65147436, -0.016320888, -0.74978876, -0.114593804, 9.738983154296875, 1.6222150325775146, -1.229754090309143, -3.148812770843506, -2.4190046787261963, -0.40543630719184875, 
10, 1140659011, 0.65133435, -0.016574016, -0.74991804, -0.11450755, 9.803584098815918, 1.6740552186965942, -1.2950903177261353, -2.34490704536438, -2.003950595855713, -0.007875905372202396, 
11, 1140675678, 0.65115815, -0.016742963, -0.7500576, -0.11457017, 9.719016075134277, 1.6078613996505737, -1.3658422231674194, -1.4574522972106934, -1.6773501634597778, 0.12553425133228302, 
12, 1140692345, 0.6509332, -0.01697542, -0.7502223, -0.11473572, 9.77772045135498, 1.566157341003418, -1.4149761199951172, -0.17802107334136963, -1.2691988945007324, 0.2873680889606476, 
13, 1140709012, 0.6507426, -0.01692821, -0.7503991, -0.11466819, 9.725312232971191, 1.5683327913284302, -1.4010690450668335, 0.3821607232093811, -0.8222572803497314, 0.3350076973438263, 
14, 1140725679, 0.6505728, -0.016692936, -0.750585, -0.11444968, 9.776352882385254, 1.5219805240631104, -1.4093660116195679, 0.28255289793014526, -0.6916196942329407, 0.41340816020965576, 
15, 1140742346, 0.65039927, -0.016547555, -0.750762, -0.11429615, 9.757269859313965, 1.489940881729126, -1.2842875719070435, 0.22368209064006805, -0.5269684195518494, 0.4288013279438019, 
16, 1140759013, 0.6502509, -0.01646454, -0.7509127, -0.11416151, 9.74752140045166, 1.5706665515899658, -1.2589786052703857, 0.3511180579662323, -0.4882548451423645, 0.5063822865486145, 
17, 1140775680, 0.65017337, -0.016380234, -0.7510044, -0.114012845, 9.792280197143555, 1.6542375087738037, -1.3158838748931885, -0.4448285400867462, -0.22845245897769928, 0.8150665163993835, 
18, 1140792347, 0.650095, -0.01635947, -0.7510776, -0.113979705, 9.762486457824707, 1.559434175491333, -1.2851670980453491, -0.5902830958366394, -0.17110563814640045, 0.7202483415603638, 
19, 1140809014, 0.6499914, -0.016462933, -0.7511572, -0.11403151, 9.754782676696777, 1.5158761739730835, -1.240501046180725, 0.830562174320221, -0.1701195389032364, 0.6342664361000061, 
20, 1140825681, 0.6499708, -0.016224843, -0.7512233, -0.11374716, 9.72392749786377, 1.613804578781128, -1.2614845037460327, 1.4015589952468872, -0.02291056141257286, 0.7195696234703064, 
21, 1140842348, 0.64997804, -0.016014505, -0.75125724, -0.11351168, 9.758726119995117, 1.6275407075881958, -1.3012793064117432, 0.9371366500854492, 0.1454097032546997, 0.7482942342758179, 
22, 1140859015, 0.64995533, -0.015980067, -0.7512903, -0.11342681, 9.750201225280762, 1.5780490636825562, -1.2800250053405762, 0.12298578768968582, -0.04821591079235077, 0.9195536375045776, 
23, 1140875682, 0.6499438, -0.015913224, -0.75131744, -0.11332291, 9.74703598022461, 1.5295318365097046, -1.2523610591888428, -0.28522300720214844, -0.08787716925144196, 0.9244071245193481, 
24, 1140892349, 0.6499431, -0.015867298, -0.7513318, -0.11323803, 9.763423919677734, 1.5669856071472168, -1.2144078016281128, -0.4705308973789215, -0.052992675453424454, 0.8992938995361328, 
