sep=,
DeviceTag:,L Upper Leg - 6,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-25 15:19:41.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1213436390, 0.2900678, 0.6978939, -0.25653043, 0.60249245, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1213453057, 0.28830695, 0.69855744, -0.25845075, 0.6017475, 9.764594078063965, 0.45765793323516846, -1.3944337368011475, 0.5691974759101868, -1.3930492401123047, 4.093620300292969, 
2, 1213469724, 0.28444046, 0.69927555, -0.26376683, 0.6004453, 9.662368774414062, 0.0740402489900589, -1.6874239444732666, -7.0799784660339355, -2.540395498275757, 5.1824421882629395, 
3, 1213486391, 0.2786841, 0.7003918, -0.2713236, 0.598473, 9.630850791931152, -0.2866317629814148, -1.7155004739761353, -11.781773567199707, -2.7791590690612793, 5.9063496589660645, 
4, 1213503058, 0.27282944, 0.7008506, -0.27919924, 0.5970094, 9.671439170837402, -0.4041697084903717, -1.5491703748703003, -11.056455612182617, -2.7867653369903564, 5.726637363433838, 
5, 1213519725, 0.26710927, 0.7009243, -0.28491715, 0.5968083, 9.841225624084473, -0.29605355858802795, -1.3836703300476074, -6.265085697174072, -2.888293743133545, 5.097421646118164, 
6, 1213536392, 0.26257777, 0.7005611, -0.28875172, 0.59740245, 9.890591621398926, -0.24271389842033386, -1.1556941270828247, -1.7806334495544434, -1.9208502769470215, 4.3233795166015625, 
7, 1213553059, 0.25914162, 0.69989634, -0.29113814, 0.5985227, 9.867252349853516, -0.16574715077877045, -1.051743507385254, 0.9881445169448853, -1.6507772207260132, 3.4488723278045654, 
8, 1213569726, 0.25665355, 0.6991722, -0.29264057, 0.5997074, 9.822892189025879, 0.022528015077114105, -1.1102921962738037, 1.7141878604888916, -2.3980536460876465, 2.607123613357544, 
9, 1213586393, 0.25468215, 0.6987802, -0.29321936, 0.60072106, 9.802332878112793, 0.10014357417821884, -1.2313907146453857, 0.6007907390594482, -3.5261266231536865, 1.9076660871505737, 
10, 1213603060, 0.25342292, 0.69855994, -0.2935485, 0.6013486, 9.808865547180176, -0.0076123489998281, -1.3886518478393555, -2.086590051651001, -4.015022277832031, 1.3188174962997437, 
11, 1213619727, 0.2524473, 0.69854385, -0.2937068, 0.6017003, 9.790144920349121, -0.14847248792648315, -1.4728235006332397, -2.7946019172668457, -4.2280683517456055, 0.7940130233764648, 
12, 1213636394, 0.25152463, 0.6986645, -0.29377064, 0.60191536, 9.78347396850586, -0.3184681534767151, -1.5710090398788452, -2.0585825443267822, -4.082076072692871, 0.5339672565460205, 
13, 1213653061, 0.25082415, 0.6987402, -0.29411724, 0.6019508, 9.825349807739258, -0.43169692158699036, -1.4411325454711914, -2.3461999893188477, -3.738365411758423, 0.5684289932250977, 
14, 1213669728, 0.2501367, 0.6987422, -0.29463714, 0.60198015, 9.80770492553711, -0.43405240774154663, -1.4100868701934814, 0.5354014039039612, -3.474477767944336, 0.8061148524284363, 
15, 1213686395, 0.24922492, 0.69881856, -0.2949287, 0.6021269, 9.817144393920898, -0.36786144971847534, -1.2728089094161987, 2.8756723403930664, -3.171402931213379, 0.7478331923484802, 
16, 1213703062, 0.24822477, 0.6989257, -0.29509285, 0.60233516, 9.850471496582031, -0.302459716796875, -1.2289408445358276, 4.113560199737549, -3.2033803462982178, 0.827335000038147, 
17, 1213719729, 0.24716094, 0.69905126, -0.29503658, 0.6026543, 9.830587387084961, -0.22811244428157806, -1.2202050685882568, 5.784955978393555, -2.7533655166625977, 0.5889833569526672, 
18, 1213736396, 0.24628958, 0.69917095, -0.29506582, 0.60285795, 9.785346031188965, -0.14481960237026215, -1.269070029258728, 4.885436534881592, -3.2155978679656982, 0.4371511936187744, 
19, 1213753063, 0.24533209, 0.69935006, -0.29489645, 0.60312325, 9.778103828430176, -0.10797876119613647, -1.3565266132354736, 6.024536609649658, -3.022580623626709, 0.43443629145622253, 
20, 1213769730, 0.24441046, 0.6995803, -0.29472515, 0.6033143, 9.83517074584961, -0.07385584712028503, -1.4747337102890015, 5.586111545562744, -3.3878180980682373, 0.5902511477470398, 
21, 1213786397, 0.24361779, 0.6997365, -0.29464394, 0.6034934, 9.83047103881836, -0.13589341938495636, -1.4665148258209229, 5.118372440338135, -2.7979443073272705, 0.9719188809394836, 
22, 1213803064, 0.24309224, 0.699803, -0.29468304, 0.6036092, 9.717707633972168, -0.1567065268754959, -1.3496824502944946, 4.080840110778809, -2.2254366874694824, 0.6591236591339111, 
23, 1213819731, 0.24231113, 0.70007914, -0.2945438, 0.60367113, 9.775422096252441, -0.12492766231298447, -1.3753180503845215, 4.466732978820801, -3.50311279296875, 0.854548454284668, 
24, 1213836398, 0.24143946, 0.7003285, -0.29428133, 0.6038588, 9.818279266357422, -0.13182230293750763, -1.419674038887024, 5.551226615905762, -2.7096829414367676, 1.1372488737106323, 
25, 1213853065, 0.24068706, 0.70056695, -0.2940909, 0.6039754, 9.765454292297363, -0.10362031310796738, -1.3809653520584106, 4.50070858001709, -2.8063197135925293, 1.0801068544387817, 
26, 1213869732, 0.23983064, 0.7008706, -0.29376486, 0.6041225, 9.819294929504395, -0.09350832551717758, -1.3544670343399048, 3.7621660232543945, -2.8383610248565674, 1.2657346725463867, 
27, 1213886399, 0.23933478, 0.7010018, -0.29377508, 0.6041621, 9.77209186553955, -0.0830974355340004, -1.4317517280578613, 3.8372507095336914, -2.5276153087615967, 1.1374154090881348, 
28, 1213903066, 0.23890145, 0.70112854, -0.29391435, 0.60411876, 9.841632843017578, -0.06575965136289597, -1.4495172500610352, 3.9194862842559814, -2.948995351791382, 1.3429763317108154, 
29, 1213919733, 0.23825885, 0.7013141, -0.2937763, 0.60422415, 9.82056713104248, -0.11955003440380096, -1.4484148025512695, 3.9174439907073975, -2.330986499786377, 1.5405336618423462, 
30, 1213936400, 0.23773709, 0.7014699, -0.29370493, 0.60428345, 9.736159324645996, -0.11622514575719833, -1.3854047060012817, 2.80724835395813, -2.241342067718506, 1.4446141719818115, 
31, 1213953067, 0.23741926, 0.7015931, -0.29389948, 0.6041709, 9.768373489379883, -0.028130799531936646, -1.3776249885559082, 1.8035244941711426, -2.970829725265503, 1.5042786598205566, 
32, 1213969734, 0.23692435, 0.7018334, -0.29388532, 0.6040929, 9.811403274536133, -0.010142119601368904, -1.4266929626464844, 0.6235219836235046, -3.228532314300537, 1.6673548221588135, 
33, 1213986401, 0.2367887, 0.7019196, -0.29422304, 0.60388154, 9.807785034179688, -0.046505529433488846, -1.325740933418274, -0.8043668270111084, -3.1026711463928223, 1.7068367004394531, 
34, 1214003068, 0.23695228, 0.70191306, -0.29484156, 0.60352314, 9.858860969543457, -0.11064323782920837, -1.3518365621566772, -2.8056538105010986, -3.3271541595458984, 1.6702107191085815, 
35, 1214019735, 0.2370269, 0.70192033, -0.29537168, 0.6032261, 9.893512725830078, -0.19827836751937866, -1.3865119218826294, -3.274097204208374, -3.1034908294677734, 1.9485692977905273, 
36, 1214036402, 0.23709002, 0.7018784, -0.2958745, 0.60300386, 9.817913055419922, -0.27351951599121094, -1.441102385520935, -3.123084783554077, -2.515334129333496, 2.0956506729125977, 
37, 1214053069, 0.23705946, 0.7018541, -0.2963086, 0.6028308, 9.77122974395752, -0.259528249502182, -1.4214340448379517, -2.0025546550750732, -2.410923480987549, 2.1225948333740234, 
38, 1214069736, 0.23699151, 0.7018882, -0.2966731, 0.6026386, 9.779086112976074, -0.22104519605636597, -1.404835820198059, -1.2851685285568237, -2.6948788166046143, 1.7401268482208252, 
39, 1214086403, 0.23675747, 0.702014, -0.29691604, 0.6024642, 9.793697357177734, -0.1811358481645584, -1.522601842880249, -0.11369478702545166, -3.11332631111145, 1.7308486700057983, 
40, 1214103070, 0.23640078, 0.7021181, -0.29703626, 0.6024238, 9.803074836730957, -0.14391674101352692, -1.5432113409042358, 1.5259405374526978, -2.390369176864624, 1.871532917022705, 
41, 1214119737, 0.23602328, 0.70219886, -0.29700738, 0.6024918, 9.765022277832031, -0.15902778506278992, -1.4989042282104492, 1.8742989301681519, -1.5122441053390503, 1.5771404504776, 
42, 1214136404, 0.23556696, 0.7023101, -0.29695624, 0.6025662, 9.763704299926758, -0.0926346629858017, -1.4074410200119019, 2.7756547927856445, -1.7149239778518677, 1.7008050680160522, 
43, 1214153071, 0.23517242, 0.70245093, -0.29695773, 0.6025554, 9.751689910888672, -0.0038453559391200542, -1.3260856866836548, 1.9769867658615112, -2.203793525695801, 1.562496304512024, 
44, 1214169738, 0.23494367, 0.70262927, -0.29707712, 0.6023778, 9.776363372802734, -0.016098108142614365, -1.3262050151824951, -0.20209699869155884, -3.0208256244659424, 1.2558610439300537, 
45, 1214186405, 0.23480117, 0.70278245, -0.2973475, 0.6021211, 9.850722312927246, -0.013741791248321533, -1.4563493728637695, 0.30342724919319153, -3.4368271827697754, 1.3071632385253906, 
46, 1214203072, 0.23467462, 0.70293033, -0.29749626, 0.6019245, 9.819049835205078, -0.052338819950819016, -1.4430431127548218, 0.019843438640236855, -2.8640377521514893, 0.9433605670928955, 
47, 1214219739, 0.23477826, 0.7030563, -0.29780763, 0.60158294, 9.770230293273926, -0.09631083905696869, -1.4174176454544067, -1.4430962800979614, -3.2781822681427, 0.5074451565742493, 
48, 1214236406, 0.23466519, 0.7032997, -0.29782942, 0.60133135, 9.79564380645752, -0.14884158968925476, -1.5281133651733398, 0.01716691255569458, -3.2729315757751465, 0.11905424296855927, 
49, 1214253073, 0.23425198, 0.70363957, -0.2975839, 0.6012166, 9.838037490844727, -0.2296128123998642, -1.5812764167785645, 1.722319483757019, -3.1356730461120605, 0.3127630650997162, 
50, 1214269740, 0.23390661, 0.70388526, -0.2972972, 0.6012053, 9.792277336120605, -0.3334411680698395, -1.441124677658081, 3.395597457885742, -2.063077449798584, -0.12078950554132462, 
51, 1214286407, 0.23349565, 0.704213, -0.29686975, 0.6011923, 9.732840538024902, -0.20762456953525543, -1.3919572830200195, 4.124586582183838, -2.3116745948791504, -0.6857545375823975, 
52, 1214303074, 0.23306635, 0.7046002, -0.29647717, 0.60109913, 9.794682502746582, -0.07757047563791275, -1.4696846008300781, 4.19755744934082, -3.053495168685913, -0.7299620509147644, 
