sep=,
DeviceTag:,Pelvis - 7,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-25 15:19:41.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1213600725, 0.3028414, -0.5605935, -0.13539155, -0.7587431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1213617392, 0.30240458, -0.560771, -0.1360054, -0.75867647, 9.352778434753418, -1.112180471420288, 3.377119302749634, 1.1674716472625732, -2.9549241065979004, 3.7071757316589355, 
2, 1213634059, 0.3019301, -0.5602147, -0.13809267, -0.75889933, 9.415704727172852, -1.0437285900115967, 3.3348400592803955, 2.6317243576049805, -2.1734812259674072, 3.0278377532958984, 
3, 1213650726, 0.30089164, -0.5596703, -0.140499, -0.7592716, 9.401962280273438, -1.004319429397583, 3.3868768215179443, 3.684675455093384, -0.644902229309082, 1.9667673110961914, 
4, 1213667393, 0.30035573, -0.55900025, -0.14295055, -0.7595199, 9.334632873535156, -0.9961355924606323, 3.365605354309082, 4.429146766662598, -1.1767371892929077, 1.189306616783142, 
5, 1213684060, 0.29990986, -0.55857193, -0.14478666, -0.7596633, 9.281046867370605, -0.9659031629562378, 3.346837043762207, 4.181330680847168, -2.160226345062256, 1.3717073202133179, 
6, 1213700727, 0.30000162, -0.558199, -0.14635895, -0.75959986, 9.320679664611816, -1.0139169692993164, 3.3204703330993652, 3.2422287464141846, -1.9481533765792847, 2.0630838871002197, 
7, 1213717394, 0.30012524, -0.5580083, -0.14740059, -0.7594897, 9.347267150878906, -1.0693200826644897, 3.3587465286254883, 3.30161190032959, -1.7325842380523682, 2.7172327041625977, 
8, 1213734061, 0.3005761, -0.55780184, -0.14819284, -0.759309, 9.358304023742676, -1.1254791021347046, 3.3453023433685303, 3.6515703201293945, -1.0755540132522583, 3.2084836959838867, 
9, 1213750728, 0.30098328, -0.5576277, -0.14860463, -0.75919515, 9.312057495117188, -1.1386080980300903, 3.338486433029175, 4.7654290199279785, -0.47476986050605774, 3.6345131397247314, 
10, 1213767395, 0.30181265, -0.5574829, -0.14921017, -0.75885326, 9.313028335571289, -1.0525233745574951, 3.2729833126068115, 5.805267333984375, -1.2031570672988892, 3.7391669750213623, 
11, 1213784062, 0.302444, -0.5575137, -0.14973518, -0.7584758, 9.385973930358887, -0.9764880537986755, 3.3146567344665527, 5.960305690765381, -2.138314723968506, 3.583127021789551, 
12, 1213800729, 0.30289552, -0.5575106, -0.15021388, -0.75820327, 9.38694953918457, -0.9294079542160034, 3.385634660720825, 5.675211429595947, -1.6118329763412476, 2.9939072132110596, 
13, 1213817396, 0.30343044, -0.557319, -0.15076107, -0.75802165, 9.304749488830566, -0.9173113703727722, 3.356374979019165, 5.338257312774658, -0.37685251235961914, 2.5765676498413086, 
14, 1213834063, 0.3037685, -0.55719674, -0.15115489, -0.7578976, 9.256776809692383, -0.9245885014533997, 3.340261697769165, 4.757283687591553, -0.6597703099250793, 2.638152837753296, 
15, 1213850730, 0.3040019, -0.5572751, -0.15151545, -0.7576745, 9.300691604614258, -0.9794521927833557, 3.333559513092041, 4.249294281005859, -2.241405725479126, 2.7738616466522217, 
16, 1213867397, 0.30425212, -0.5573825, -0.15176307, -0.7574453, 9.334136962890625, -1.0059165954589844, 3.3857030868530273, 3.687544107437134, -2.158395290374756, 3.1883909702301025, 
17, 1213884064, 0.30462176, -0.55736214, -0.15193519, -0.7572772, 9.3211030960083, -1.033459186553955, 3.3262276649475098, 3.1790807247161865, -0.961846649646759, 3.3838796615600586, 
18, 1213900731, 0.30495426, -0.55737585, -0.15207607, -0.757105, 9.319153785705566, -1.0343109369277954, 3.300487756729126, 2.782864809036255, -1.0857350826263428, 3.149138927459717, 
19, 1213917398, 0.30514443, -0.55747205, -0.15214336, -0.7569441, 9.327651023864746, -0.9986525177955627, 3.3132734298706055, 2.6793315410614014, -1.5148247480392456, 2.953310966491699, 
