sep=,
DeviceTag:,R Foot - 1,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-25 15:19:41.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1140638942, 0.936169, -0.24978034, -0.20982297, -0.13104032, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1140655609, 0.9363796, -0.24910228, -0.21034946, -0.12997907, 4.575709342956543, -4.188663482666016, 7.924003601074219, 5.410715579986572, -2.0432915687561035, 2.140024423599243, 
2, 1140672276, 0.9365278, -0.2488665, -0.21023184, -0.1295522, 4.595640659332275, -4.11502742767334, 7.92091178894043, 5.30471658706665, -2.243314027786255, 2.0684494972229004, 
3, 1140688943, 0.9367495, -0.24819832, -0.21036439, -0.12901558, 4.590664863586426, -4.143443584442139, 7.882453441619873, 5.3417134284973145, -2.1435394287109375, 2.0181076526641846, 
4, 1140705610, 0.93684745, -0.24776037, -0.21054001, -0.12886009, 4.614782810211182, -4.113219261169434, 7.920502185821533, 5.3656744956970215, -2.3361854553222656, 1.8098125457763672, 
5, 1140722277, 0.9368918, -0.24734417, -0.21067517, -0.12911455, 4.641484260559082, -4.106647968292236, 7.900803565979004, 5.299901008605957, -2.2979073524475098, 2.0859813690185547, 
6, 1140738944, 0.93703294, -0.24672611, -0.21112315, -0.1285411, 4.582789421081543, -4.119739532470703, 7.9183526039123535, 5.327857971191406, -2.1886050701141357, 2.002561092376709, 
7, 1140755611, 0.9371039, -0.24632186, -0.21140665, -0.1283319, 4.6337432861328125, -4.050649166107178, 7.929317951202393, 4.694736957550049, -2.5798518657684326, 2.2344071865081787, 
8, 1140772278, 0.9371496, -0.2459598, -0.2116215, -0.12833859, 4.615830421447754, -4.120883464813232, 7.8903584480285645, 4.31930685043335, -2.4561939239501953, 2.662510633468628, 
9, 1140788945, 0.9372423, -0.24551812, -0.21192992, -0.12799764, 4.592998027801514, -4.199995040893555, 7.883026599884033, 4.683391571044922, -2.3914451599121094, 2.382192373275757, 
10, 1140805612, 0.93735075, -0.24509007, -0.21222012, -0.12754278, 4.61967134475708, -4.1525983810424805, 7.895068645477295, 5.071732044219971, -2.250204086303711, 2.1821446418762207, 
11, 1140822279, 0.9374366, -0.24467812, -0.21245062, -0.12731838, 4.602919101715088, -4.164924144744873, 7.9099907875061035, 5.4781670570373535, -2.218841075897217, 2.112260341644287, 
12, 1140838946, 0.9375396, -0.24420594, -0.21272436, -0.12700965, 4.5999979972839355, -4.163248538970947, 7.886544704437256, 5.7615966796875, -2.306295871734619, 1.7545533180236816, 
13, 1140855613, 0.937709, -0.24362022, -0.21311493, -0.12622671, 4.615362167358398, -4.122158527374268, 7.894260406494141, 5.950259685516357, -2.350797653198242, 1.814858317375183, 
14, 1140872280, 0.9378488, -0.24308327, -0.21338779, -0.12576136, 4.626482009887695, -4.130561828613281, 7.915383338928223, 6.039699077606201, -2.0863211154937744, 1.9007889032363892, 
