sep=,
DeviceTag:,R Forearm - 9,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-25 15:19:41.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 567182152, 0.64874214, -0.5998892, -0.45134678, -0.12471023, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 567198819, 0.6479508, -0.60045856, -0.45187992, -0.124151945, 7.1058030128479, -6.8389573097229, -1.4364155530929565, -3.688549041748047, -4.783274173736572, 0.005397876724600792, 
2, 567215486, 0.647058, -0.60224, -0.45168015, -0.12086421, 7.050239086151123, -7.2293548583984375, -1.4018981456756592, 0.6405543684959412, -4.3154706954956055, 1.076290488243103, 
3, 567232153, 0.6478016, -0.60380644, -0.4497587, -0.116138116, 6.947872638702393, -6.812532424926758, -1.3446102142333984, 11.400223731994629, -2.736064910888672, -0.9468122720718384, 
4, 567248820, 0.64857614, -0.6046765, -0.448053, -0.11385862, 6.925576686859131, -6.27732515335083, -1.2508147954940796, 11.942676544189453, -1.5358920097351074, -3.5612940788269043, 
5, 567265487, 0.6484003, -0.60515934, -0.44761902, -0.114001855, 6.964502811431885, -6.225490093231201, -1.190638542175293, 2.661716938018799, -2.2235283851623535, -4.506439685821533, 
6, 567282154, 0.6476756, -0.60564584, -0.44765228, -0.115400225, 7.005789756774902, -6.659215927124023, -1.3208714723587036, -3.3374760150909424, -3.109189987182617, -4.8129472732543945, 
7, 567298821, 0.6469127, -0.6061111, -0.44786367, -0.11641136, 7.050564289093018, -6.880463123321533, -1.099531888961792, -3.6211884021759033, -3.6873583793640137, -4.551172256469727, 
8, 567315488, 0.64687735, -0.60600466, -0.44792768, -0.116914846, 7.088688850402832, -7.074163436889648, -1.162177324295044, -0.4038354754447937, -2.1485085487365723, -4.365877151489258, 
9, 567332155, 0.6472745, -0.60561943, -0.4477879, -0.117246404, 7.0306196212768555, -6.760166168212891, -1.248362421989441, 2.9904556274414062, -1.4148709774017334, -5.183228969573975, 
10, 567348822, 0.6472147, -0.6056171, -0.44777295, -0.1176456, 7.049186706542969, -6.805360317230225, -1.263651967048645, -0.2036977857351303, -3.147979974746704, -4.8910393714904785, 
11, 567365489, 0.6469841, -0.60571265, -0.44792002, -0.11786277, 7.075072288513184, -6.980652809143066, -1.3096060752868652, -0.440461665391922, -4.808721542358398, -4.4467244148254395, 
12, 567382156, 0.6467834, -0.60568815, -0.44830927, -0.117609076, 7.129942417144775, -7.107938289642334, -1.2941862344741821, 0.4140101969242096, -5.712261199951172, -3.7258801460266113, 
13, 567398823, 0.64703727, -0.60519785, -0.44871944, -0.11717217, 7.174470901489258, -6.826898574829102, -1.0753430128097534, 4.706084251403809, -4.341404438018799, -4.3491010665893555, 
14, 567415490, 0.647576, -0.60446846, -0.44894192, -0.1171091, 7.1372175216674805, -6.6593122482299805, -1.102479338645935, 6.848574161529541, -2.643653631210327, -5.450344562530518, 
15, 567432157, 0.6480134, -0.60394406, -0.448993, -0.11719945, 7.236384391784668, -6.709839344024658, -1.2246218919754028, 5.130679607391357, -2.0957469940185547, -4.260034084320068, 
