sep=,
DeviceTag:,R Lower Leg - 3,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-25 15:19:41.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1140624087, 0.5350811, 0.3156189, -0.7059413, 0.34017605, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1140640754, 0.53596526, 0.315621, -0.70526505, 0.34018508, 9.757488250732422, -1.3666940927505493, -1.83362877368927, 0.7499462366104126, 0.3614271879196167, -0.05960075929760933, 
2, 1140657421, 0.5371938, 0.31553668, -0.7043324, 0.3402579, 9.755918502807617, -1.3434098958969116, -1.8116462230682373, 1.0785698890686035, 0.16225005686283112, -0.027546456083655357, 
3, 1140674088, 0.5383271, 0.31554118, -0.70344204, 0.34030452, 9.692794799804688, -1.255720615386963, -1.8278285264968872, 0.5391665101051331, -0.3581295609474182, 0.3592117130756378, 
4, 1140690755, 0.53920645, 0.3158451, -0.70279074, 0.33997595, 9.732470512390137, -1.387542486190796, -1.9627163410186768, -0.6984455585479736, -0.5047750473022461, 0.3351229429244995, 
5, 1140707422, 0.53942853, 0.3159302, -0.7027318, 0.33966637, 9.65644645690918, -1.4041262865066528, -2.0610039234161377, -0.16979938745498657, -0.46466556191444397, 0.39259785413742065, 
6, 1140724089, 0.5391313, 0.31616336, -0.7029568, 0.33945546, 9.704549789428711, -1.3749444484710693, -2.1063146591186523, -0.4778817296028137, -0.14663270115852356, 0.09500390291213989, 
7, 1140740756, 0.53882676, 0.31619784, -0.7033973, 0.33899415, 9.764841079711914, -1.4271284341812134, -2.178314447402954, -0.5351389050483704, 0.1787446141242981, -0.27546456456184387, 
8, 1140757423, 0.5385381, 0.31591216, -0.7040392, 0.33838612, 9.667106628417969, -1.3701413869857788, -2.0929114818573, -0.25320714712142944, 0.39423704147338867, -0.028724640607833862, 
9, 1140774090, 0.5382711, 0.3157465, -0.7045574, 0.3378865, 9.693849563598633, -1.4202871322631836, -1.9893618822097778, -0.35641348361968994, 0.6147496104240417, -0.22952818870544434, 
10, 1140790757, 0.53793234, 0.3159247, -0.7047705, 0.33781484, 9.695531845092773, -1.4161314964294434, -1.8892452716827393, 0.5976787209510803, 0.7613950967788696, -0.4456097483634949, 
11, 1140807424, 0.5377151, 0.31593892, -0.7049561, 0.33776057, 9.719687461853027, -1.278304100036621, -1.8087482452392578, 1.4672297239303589, 0.3007506728172302, -0.3674013316631317, 
12, 1140824091, 0.53737503, 0.31644648, -0.70483834, 0.3380721, 9.766555786132812, -1.268954873085022, -1.821696162223816, 1.4573817253112793, -0.09019511938095093, -0.32063257694244385, 
13, 1140840758, 0.5371884, 0.31675878, -0.7047608, 0.33823803, 9.70067310333252, -1.3176734447479248, -1.901512861251831, 1.637669563293457, -0.4015814960002899, -0.1925818771123886, 
14, 1140857425, 0.5370386, 0.31695127, -0.70473725, 0.33834442, 9.682123184204102, -1.2845571041107178, -1.9362117052078247, 1.649874210357666, -0.6226959824562073, 0.08130111545324326, 
15, 1140874092, 0.53692794, 0.31708542, -0.7047435, 0.33838126, 9.714737892150879, -1.3150643110275269, -2.0050747394561768, 1.1277589797973633, -0.6308791041374207, 0.1664120852947235, 
16, 1140890759, 0.5367577, 0.3173375, -0.7047066, 0.33849186, 9.706098556518555, -1.33905029296875, -2.0264670848846436, 1.1941602230072021, -0.6374744772911072, 0.11970736086368561, 
17, 1140907426, 0.53665435, 0.31745, -0.7047312, 0.33849913, 9.722112655639648, -1.3411494493484497, -2.014153003692627, 1.7965832948684692, -0.603204607963562, -0.030248593538999557, 
18, 1140924093, 0.5364859, 0.31771213, -0.70468116, 0.33862415, 9.71634292602539, -1.3601806163787842, -1.9746010303497314, 2.1990103721618652, -0.5500839948654175, -0.1622948944568634, 
19, 1140940760, 0.5362879, 0.3180055, -0.70459676, 0.33883834, 9.663907051086426, -1.3484736680984497, -1.966828465461731, 3.0505943298339844, -0.5097439885139465, -0.08946516364812851, 
20, 1140957427, 0.5359696, 0.31852904, -0.7044034, 0.33925185, 9.67919635772705, -1.324505090713501, -1.9809139966964722, 3.876758098602295, -0.6131168603897095, -0.16886456310749054, 
21, 1140974094, 0.53573406, 0.3188271, -0.704315, 0.33952764, 9.701736450195312, -1.2999612092971802, -1.9676578044891357, 4.5193681716918945, -0.7488130927085876, -0.06371159851551056, 
22, 1140990761, 0.53536916, 0.319422, -0.70407397, 0.34004328, 9.701348304748535, -1.3337843418121338, -2.0033366680145264, 5.294689655303955, -0.7163744568824768, -0.1944132298231125, 
23, 1141007428, 0.5349722, 0.3200158, -0.70385003, 0.340573, 9.700020790100098, -1.310790777206421, -1.9863755702972412, 5.8676838874816895, -0.9627558588981628, -0.13216154277324677, 
24, 1141024095, 0.53461033, 0.32046583, -0.7037079, 0.34101158, 9.704955101013184, -1.2440026998519897, -1.9411792755126953, 5.642483711242676, -1.1130638122558594, 0.1326417475938797, 
25, 1141040762, 0.5342381, 0.3209306, -0.70359063, 0.34139967, 9.737167358398438, -1.3042248487472534, -1.9503697156906128, 4.2558512687683105, -1.28793466091156, 0.25765734910964966, 
26, 1141057429, 0.5339162, 0.32130593, -0.7035047, 0.34172705, 9.68953800201416, -1.3365671634674072, -2.0122604370117188, 3.3798329830169678, -1.1171876192092896, 0.44094187021255493, 
27, 1141074096, 0.5337896, 0.32127842, -0.7036089, 0.34173617, 9.716944694519043, -1.3177025318145752, -2.0722625255584717, 2.608672857284546, -1.0559604167938232, 0.5307143330574036, 
28, 1141090763, 0.5336068, 0.32138667, -0.70365435, 0.34182617, 9.69962215423584, -1.355538249015808, -2.0864639282226562, 1.721909761428833, -0.9178438186645508, 0.5840784311294556, 
29, 1141107430, 0.533462, 0.32148612, -0.70368874, 0.3418879, 9.691533088684082, -1.406974196434021, -2.1457009315490723, 1.1725943088531494, -0.6458754539489746, 0.4491507411003113, 
30, 1141124097, 0.5333247, 0.32167897, -0.7036473, 0.34200573, 9.71480655670166, -1.383444905281067, -2.1983022689819336, 0.7690660357475281, -0.18953396379947662, 0.20358891785144806, 
31, 1141140764, 0.5333042, 0.32164395, -0.70369637, 0.34196976, 9.692718505859375, -1.3146241903305054, -2.1803343296051025, 0.2185211330652237, 0.10501845180988312, 0.33322760462760925, 
32, 1141157431, 0.53328764, 0.3216453, -0.70370656, 0.34197345, 9.6781005859375, -1.3262042999267578, -2.1495330333709717, -0.3656340539455414, 0.46978169679641724, 0.42054128646850586, 
33, 1141174098, 0.5333848, 0.32146063, -0.7037866, 0.3418306, 9.717890739440918, -1.3454152345657349, -2.1130576133728027, -0.6066367626190186, 0.6889750957489014, 0.351950466632843, 
34, 1141190765, 0.53343403, 0.3213605, -0.70381665, 0.3417861, 9.732081413269043, -1.327122449874878, -2.051929235458374, -0.39337268471717834, 0.7799131274223328, 0.4599721133708954, 
35, 1141207432, 0.53353965, 0.32115284, -0.70389694, 0.34165123, 9.721362113952637, -1.286810040473938, -2.056347608566284, -1.2013572454452515, 0.8622899055480957, 0.5758759379386902, 
36, 1141224099, 0.5337412, 0.32075268, -0.70406663, 0.34136245, 9.667645454406738, -1.3063668012619019, -2.0285885334014893, -1.838057041168213, 0.9167169332504272, 0.6818997859954834, 
37, 1141240766, 0.53384924, 0.32055768, -0.70414865, 0.34120756, 9.726531982421875, -1.331608772277832, -2.006302833557129, -2.347032308578491, 0.9088218808174133, 0.6799851655960083, 
38, 1141257433, 0.533938, 0.32043335, -0.7041861, 0.34110832, 9.7340726852417, -1.3265104293823242, -2.066895008087158, -2.6395297050476074, 1.0409834384918213, 0.6817652583122253, 
39, 1141274100, 0.53402334, 0.32025284, -0.70426595, 0.34097946, 9.72459888458252, -1.1773945093154907, -2.0286107063293457, -3.025486946105957, 0.9200145602226257, 0.9336147308349609, 
40, 1141290767, 0.5342518, 0.31972972, -0.7045324, 0.3405614, 9.691834449768066, -1.14613938331604, -2.0269155502319336, -4.646604537963867, 0.8204707503318787, 1.2891960144042969, 
41, 1141307434, 0.53447104, 0.31920895, -0.70482093, 0.3401085, 9.71812629699707, -1.2417188882827759, -2.0676443576812744, -5.965326309204102, 0.7575404644012451, 1.4982854127883911, 
42, 1141324101, 0.534676, 0.31867278, -0.70511186, 0.33968627, 9.698527336120605, -1.3241733312606812, -2.0696616172790527, -5.9184675216674805, 0.7873407602310181, 1.7538617849349976, 
43, 1141340768, 0.5348854, 0.3181709, -0.7053552, 0.33932143, 9.684443473815918, -1.394201397895813, -2.064249277114868, -4.82650899887085, 0.9430148601531982, 1.5530710220336914, 
44, 1141357435, 0.53498554, 0.31787404, -0.7054945, 0.33915216, 9.679180145263672, -1.3196561336517334, -2.020803928375244, -3.608689069747925, 0.8765884041786194, 1.4728903770446777, 
45, 1141374102, 0.53514695, 0.3174571, -0.7056821, 0.33889762, 9.718451499938965, -1.3337583541870117, -2.008587121963501, -3.6659462451934814, 0.9251051545143127, 1.4817845821380615, 
46, 1141390769, 0.53531337, 0.31705356, -0.7058488, 0.33866528, 9.740100860595703, -1.4073702096939087, -2.033524513244629, -3.337898015975952, 1.0061628818511963, 1.4062715768814087, 
47, 1141407436, 0.535463, 0.3166799, -0.705992, 0.33848006, 9.689140319824219, -1.3580275774002075, -2.038456916809082, -3.3729493618011475, 1.0973442792892456, 1.4921897649765015, 
48, 1141424103, 0.53565484, 0.3162445, -0.7061577, 0.33823746, 9.712469100952148, -1.2905066013336182, -2.0056488513946533, -4.51007604598999, 1.2988903522491455, 1.6168336868286133, 
49, 1141440770, 0.5359424, 0.31567368, -0.7063733, 0.33786502, 9.683372497558594, -1.4402801990509033, -1.980684518814087, -4.660435676574707, 1.4107283353805542, 1.424111008644104, 
50, 1141457437, 0.53612965, 0.31533307, -0.7064883, 0.3376456, 9.693493843078613, -1.4607179164886475, -1.945762276649475, -2.8364782333374023, 1.1052069664001465, 0.9002414345741272, 
51, 1141474104, 0.53622985, 0.31513268, -0.70655054, 0.33754322, 9.722602844238281, -1.3631763458251953, -1.8897749185562134, -1.7627301216125488, 0.8272325396537781, 0.7716529965400696, 
52, 1141490771, 0.53625655, 0.3150463, -0.7065967, 0.33748507, 9.715096473693848, -1.3670965433120728, -1.7935011386871338, -1.6901819705963135, 0.43777862191200256, 0.66480952501297, 
53, 1141507438, 0.5363248, 0.31479377, -0.7067468, 0.3372977, 9.680099487304688, -1.3926472663879395, -1.833783745765686, -1.628429889678955, 0.08005890250205994, 0.7840880751609802, 
54, 1141524105, 0.53627366, 0.31479558, -0.7067857, 0.33729568, 9.687451362609863, -1.3800469636917114, -1.9276522397994995, -1.4958456754684448, 0.005128942895680666, 0.7062894701957703, 
55, 1141540772, 0.53626287, 0.31472957, -0.70686156, 0.33721554, 9.705629348754883, -1.3891146183013916, -2.0301074981689453, -0.9019255042076111, -0.1638060212135315, 0.44035273790359497, 
56, 1141557439, 0.53623533, 0.3146935, -0.70691174, 0.3371878, 9.721579551696777, -1.3277983665466309, -2.122065544128418, -0.7098559141159058, -0.06632407754659653, 0.516179084777832, 
57, 1141574106, 0.5362831, 0.3145504, -0.70699763, 0.33706543, 9.68209457397461, -1.3433283567428589, -2.153432846069336, -1.0696759223937988, 0.12042450904846191, 0.44398972392082214, 
58, 1141590773, 0.5362772, 0.31455803, -0.7070009, 0.33706042, 9.707215309143066, -1.3855472803115845, -2.0883378982543945, -0.9673148989677429, 0.2816692590713501, 0.3600185215473175, 
59, 1141607440, 0.5363135, 0.31454262, -0.70698696, 0.33704653, 9.739972114562988, -1.4143327474594116, -2.0909690856933594, -0.4531526267528534, 0.4915652573108673, 0.15461745858192444, 
60, 1141624107, 0.53628457, 0.3146834, -0.70688385, 0.3371773, 9.724458694458008, -1.3011350631713867, -2.0279383659362793, 0.09410745650529861, 0.6173748970031738, 0.09660469740629196, 
61, 1141640774, 0.53630024, 0.3147114, -0.7068462, 0.33720523, 9.709024429321289, -1.308884620666504, -1.9768023490905762, -0.11213239282369614, 0.49193668365478516, 0.11651857197284698, 
62, 1141657441, 0.5363137, 0.31476453, -0.7068007, 0.33722946, 9.677506446838379, -1.3885369300842285, -1.9786617755889893, 0.4761976897716522, 0.36474403738975525, -0.12712863087654114, 
63, 1141674108, 0.53639525, 0.31461176, -0.7068551, 0.3371285, 9.672728538513184, -1.3124089241027832, -1.891994833946228, 0.8384764790534973, 0.22441205382347107, 0.03539034724235535, 
64, 1141690775, 0.5363566, 0.3146711, -0.7068508, 0.33714315, 9.718769073486328, -1.299797534942627, -1.9393450021743774, 0.32335391640663147, -0.0776192843914032, 0.04295890033245087, 
