sep=,
DeviceTag:,R Upper Leg - 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
StartTime:,2024-05-25 15:19:41.000 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1476474597, 0.58034295, -0.3072149, -0.71206194, -0.24857344, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1476491264, 0.5802502, -0.30757663, -0.71208495, -0.24827759, 9.611769676208496, -0.18084165453910828, -2.0535175800323486, -2.6243667602539062, 1.0843969583511353, -1.6129341125488281, 
2, 1476507931, 0.5802747, -0.30840766, -0.7120358, -0.2473277, 9.608996391296387, -0.17098884284496307, -2.1209208965301514, -2.0198302268981934, 1.2980067729949951, -2.4077985286712646, 
3, 1476524598, 0.580016, -0.30916387, -0.71226525, -0.24632785, 9.600927352905273, -0.19680342078208923, -2.1143476963043213, -1.1067121028900146, 1.7110885381698608, -2.7951653003692627, 
4, 1476541265, 0.57980007, -0.30983666, -0.7124016, -0.24559556, 9.627996444702148, -0.27462098002433777, -2.0784711837768555, -0.658797025680542, 1.972594141960144, -2.6586496829986572, 
5, 1476557932, 0.57965976, -0.31104338, -0.71207225, -0.24535634, 9.624856948852539, -0.319281667470932, -2.0477161407470703, 0.5502952933311462, 1.9071154594421387, -2.1350619792938232, 
6, 1476574599, 0.57977784, -0.3118231, -0.71182954, -0.24479197, 9.682767868041992, -0.3178686499595642, -2.056894540786743, 2.246957540512085, 1.0755605697631836, -1.8248536586761475, 
7, 1476591266, 0.5801352, -0.3120011, -0.711762, -0.24391267, 9.610300064086914, -0.21004530787467957, -2.1707582473754883, 3.221341133117676, 0.9852501153945923, -1.653645634651184, 
8, 1476607933, 0.5802021, -0.3124572, -0.71162224, -0.24357723, 9.61303424835205, -0.10073362290859222, -2.0975818634033203, 2.0513916015625, 1.268949270248413, -1.388169765472412, 
9, 1476624600, 0.580246, -0.31265166, -0.71152484, -0.24350756, 9.66169548034668, 0.022397322580218315, -2.047828435897827, 0.9325776100158691, 1.7032382488250732, -1.4692853689193726, 
10, 1476641267, 0.58021045, -0.31275597, -0.71143144, -0.24373081, 9.608630180358887, 0.1251300871372223, -1.9737772941589355, 1.3004400730133057, 1.4698551893234253, -1.4982917308807373, 
11, 1476657934, 0.5800221, -0.3129423, -0.71130687, -0.24430333, 9.720303535461426, 0.09188827872276306, -1.9828799962997437, 1.1860792636871338, 0.7646735310554504, -1.497241497039795, 
12, 1476674601, 0.58001304, -0.31260514, -0.7112976, -0.24478324, 9.646123886108398, 0.03241920843720436, -2.1129090785980225, 0.42964664101600647, 1.4843521118164062, -2.036811590194702, 
13, 1476691268, 0.58002657, -0.31213725, -0.71133876, -0.24522866, 9.588274955749512, -0.06965592503547668, -2.1018383502960205, 1.059936761856079, 1.8000540733337402, -2.4000892639160156, 
14, 1476707935, 0.5801036, -0.31145442, -0.7115312, -0.24535584, 9.615337371826172, -0.1324211210012436, -2.0752618312835693, 2.482722520828247, 1.3774958848953247, -2.3984758853912354, 
15, 1476724602, 0.58020896, -0.3108602, -0.7117007, -0.24536876, 9.631027221679688, -0.19578656554222107, -2.0147147178649902, 3.709071159362793, 1.2355120182037354, -2.0436246395111084, 
16, 1476741269, 0.5803332, -0.3103428, -0.71188176, -0.24520448, 9.657403945922852, -0.19307513535022736, -2.0254156589508057, 3.6547207832336426, 0.660519540309906, -1.2792519330978394, 
17, 1476757936, 0.58048886, -0.30998236, -0.7119833, -0.2449966, 9.647475242614746, -0.1360352635383606, -2.0508713722229004, 4.095669269561768, 0.6905760765075684, -0.6448894143104553, 
18, 1476774603, 0.5807528, -0.3094433, -0.7121538, -0.24455671, 9.633269309997559, -0.010840700939297676, -1.9620836973190308, 4.129029750823975, 0.774688184261322, -0.2457154393196106, 
19, 1476791270, 0.5808728, -0.3092799, -0.71215814, -0.24446593, 9.645825386047363, 0.027327997609972954, -1.9225687980651855, 2.5771944522857666, 0.6848899722099304, -0.0647617056965828, 
20, 1476807937, 0.5810106, -0.3091218, -0.71213, -0.24442068, 9.670416831970215, 0.05159508436918259, -1.9935524463653564, 1.4222155809402466, 0.8471465110778809, 0.18686383962631226, 
21, 1476824604, 0.58117414, -0.30897385, -0.7120691, -0.24439625, 9.65999984741211, 0.030830353498458862, -1.9726427793502808, 1.2808846235275269, 1.1034142971038818, 0.38166120648384094, 
22, 1476841271, 0.5813632, -0.30877376, -0.7120503, -0.2442541, 9.635881423950195, -0.01599126122891903, -2.0321359634399414, 1.8191803693771362, 0.8648000359535217, 0.6869198083877563, 
23, 1476857938, 0.58151144, -0.30862215, -0.7120331, -0.24414279, 9.614508628845215, -0.09218040853738785, -1.9701471328735352, 1.3058699369430542, 0.6855559349060059, 0.735936164855957, 
24, 1476874605, 0.5816692, -0.30857605, -0.71196723, -0.24401739, 9.615290641784668, -0.1838623732328415, -2.0309102535247803, 2.3815391063690186, 0.6845569610595703, 1.0309174060821533, 
25, 1476891272, 0.58193266, -0.30828226, -0.71203893, -0.243551, 9.618515014648438, -0.14838416874408722, -1.9900614023208618, 4.261511325836182, 0.397938072681427, 1.1731833219528198, 
26, 1476907939, 0.58218646, -0.30799973, -0.7121411, -0.24300246, 9.634294509887695, -0.11281129717826843, -1.9427473545074463, 4.558619499206543, 0.039398740977048874, 1.4045429229736328, 
27, 1476924606, 0.5824348, -0.30781096, -0.71219504, -0.24248841, 9.662535667419434, -0.042089492082595825, -1.9923186302185059, 4.464659214019775, 0.08194144815206528, 1.6604522466659546, 
28, 1476941273, 0.58267576, -0.307718, -0.7121901, -0.24204157, 9.682473182678223, -1.6384059563279152E-5, -1.9994471073150635, 4.054727554321289, 0.2603594958782196, 1.9043492078781128, 
29, 1476957940, 0.58285993, -0.3078824, -0.7120346, -0.24184678, 9.68334674835205, 0.004333344288170338, -1.9725747108459473, 1.9563941955566406, 0.6891033053398132, 2.3109378814697266, 
30, 1476974607, 0.5829513, -0.3082867, -0.71175075, -0.24194622, 9.671122550964355, 0.006146382540464401, -1.9869275093078613, -0.9976401925086975, 0.9639660716056824, 2.4943630695343018, 
31, 1476991274, 0.58307534, -0.30870044, -0.7114117, -0.24211681, 9.678257942199707, 0.02559584565460682, -2.0012266635894775, -2.339144229888916, 1.4965054988861084, 2.6568374633789062, 
32, 1477007941, 0.5831875, -0.30912393, -0.7110752, -0.24229512, 9.632725715637207, -0.0149847362190485, -2.0071003437042236, -2.595885992050171, 1.442168116569519, 2.7229952812194824, 
33, 1477024608, 0.58323234, -0.30957863, -0.71077144, -0.24249792, 9.624055862426758, 0.0058812303468585014, -1.9940613508224487, -2.5678012371063232, 0.9938048124313354, 2.5360608100891113, 
34, 1477041275, 0.5832027, -0.3101286, -0.710406, -0.24293688, 9.666625022888184, -0.0264706090092659, -2.0478787422180176, -3.713226795196533, 1.2245880365371704, 1.9516685009002686, 
35, 1477057942, 0.58316207, -0.31063, -0.710027, -0.24350104, 9.658917427062988, -0.04117607697844505, -2.0165114402770996, -3.600710153579712, 1.593436360359192, 1.1098557710647583, 
36, 1477074609, 0.58314914, -0.31089014, -0.7097828, -0.24391143, 9.607232093811035, -0.08127602934837341, -1.9030786752700806, -2.013427257537842, 1.2876721620559692, 0.39085620641708374, 
37, 1477091276, 0.58309853, -0.31112203, -0.70957106, -0.24435252, 9.634934425354004, -0.11293045431375504, -1.9359716176986694, -2.547323703765869, 1.0721796751022339, 0.07520529627799988, 
38, 1477107943, 0.58303, -0.31134146, -0.7093465, -0.24488781, 9.682421684265137, -0.12955045700073242, -2.0117056369781494, -3.5894923210144043, 1.2602795362472534, -0.27771857380867004, 
39, 1477124610, 0.58297294, -0.31157425, -0.7090853, -0.24548343, 9.624639511108398, -0.10176337510347366, -2.0086586475372314, -3.3669817447662354, 1.5771340131759644, -0.5163777470588684, 
40, 1477141277, 0.58291155, -0.31176227, -0.70886153, -0.2460361, 9.609176635742188, -0.12657669186592102, -2.0073208808898926, -2.3117127418518066, 1.3974865674972534, -0.7958762645721436, 
41, 1477157944, 0.5829506, -0.31175172, -0.7087135, -0.2463831, 9.628432273864746, -0.16194720566272736, -2.0040464401245117, -1.753112554550171, 1.5221691131591797, -0.639805257320404, 
42, 1477174611, 0.58292913, -0.31184125, -0.7085413, -0.24681555, 9.63597583770752, -0.17346696555614471, -1.9523866176605225, -1.36359441280365, 1.3322510719299316, -0.8638138771057129, 
43, 1477191278, 0.58295774, -0.31174317, -0.7084856, -0.24703182, 9.69069766998291, -0.0955556333065033, -1.9077013731002808, -0.5870558619499207, 0.9834060668945312, -0.843029260635376, 
44, 1477207945, 0.5830176, -0.3115966, -0.70842475, -0.24724995, 9.692280769348145, -0.00810815580189228, -1.9784293174743652, -1.8455743789672852, 1.2487536668777466, -0.7354303002357483, 
45, 1477224612, 0.5830167, -0.31169182, -0.7082112, -0.24774326, 9.673215866088867, 7.500101928599179E-4, -1.8740133047103882, -2.8977952003479004, 1.7272883653640747, -0.758558452129364, 
46, 1477241279, 0.58304477, -0.31175312, -0.7079805, -0.24825926, 9.660872459411621, -0.07403047382831573, -1.8724793195724487, -3.0588605403900146, 2.0294413566589355, -0.8763128519058228, 
47, 1477257946, 0.58302724, -0.31190583, -0.707747, -0.24877357, 9.624505043029785, -0.10608517378568649, -1.9238641262054443, -2.2927463054656982, 1.6292814016342163, -0.7528979778289795, 
48, 1477274613, 0.5830464, -0.31191123, -0.7075938, -0.24915692, 9.616386413574219, -0.11435896158218384, -1.976344108581543, -1.8832889795303345, 1.4703289270401, -0.8683984279632568, 
49, 1477291280, 0.5830493, -0.31199843, -0.70740354, -0.24958117, 9.611705780029297, -0.10292132943868637, -1.9714937210083008, -1.0019303560256958, 1.4861576557159424, -0.9017846584320068, 
50, 1477307947, 0.58312666, -0.311816, -0.70737445, -0.24971093, 9.632646560668945, -0.04186650738120079, -1.992762804031372, 0.21145203709602356, 1.0643550157546997, -0.9217627644538879, 
51, 1477324614, 0.5831378, -0.3116706, -0.70736516, -0.249893, 9.656393051147461, 0.016827914863824844, -1.9703413248062134, -0.5963916778564453, 0.7297505736351013, -1.0522464513778687, 
52, 1477341281, 0.58308005, -0.3116532, -0.70730656, -0.25021505, 9.656637191772461, 0.059233635663986206, -2.019378900527954, -1.8283498287200928, 0.6807023882865906, -1.0339975357055664, 
53, 1477357948, 0.58305746, -0.31158, -0.70725894, -0.25049326, 9.658306121826172, 0.07158882170915604, -2.0363335609436035, -1.651122808456421, 0.8311514258384705, -1.0092172622680664, 
54, 1477374615, 0.5830089, -0.31159523, -0.70716983, -0.25083885, 9.658909797668457, -0.05652831122279167, -2.049020290374756, -1.724874496459961, 0.8751155138015747, -0.9360802173614502, 
55, 1477391282, 0.5829824, -0.3116319, -0.70705616, -0.25117448, 9.650908470153809, -0.18202148377895355, -2.082602024078369, -2.0230703353881836, 1.0467013120651245, -0.6591044068336487, 
